Date,Low,Open,Volume,High,Close,Adjusted Close
22-02-1994,7.25,7.375,20800,7.375,7.25,4.494560718536377
23-02-1994,6.75,7.125,31600,7.125,6.9375,4.300828456878662
24-02-1994,6.8125,6.9375,32000,6.9375,6.8125,4.223335266113281
25-02-1994,6.25,6.6875,49800,6.6875,6.4375,3.9908597469329834
28-02-1994,6.4375,6.5,170400,6.75,6.625,4.1070990562438965
01-03-1994,6.5,6.625,41600,6.625,6.5625,4.068353652954102
02-03-1994,6.4375,6.4375,67000,6.5625,6.5625,4.068353652954102
03-03-1994,6.5,6.625,27800,6.625,6.5,4.02960729598999
04-03-1994,6.4375,6.5,358200,6.75,6.75,4.184591770172119
07-03-1994,6.4375,6.4375,690800,6.8125,6.75,4.184591770172119
08-03-1994,6.75,6.75,515200,6.8125,6.8125,4.223335266113281
09-03-1994,6.8125,6.8125,540400,6.875,6.875,4.262084007263184
10-03-1994,6.8125,6.875,1832200,6.875,6.875,4.262084007263184
11-03-1994,6.9375,6.9375,1895400,7.1875,7.1875,4.455812931060791
14-03-1994,7.1875,7.1875,1413800,7.625,7.5625,4.688290596008301
15-03-1994,7.4375,7.5625,1665200,7.6875,7.4375,4.610798358917236
16-03-1994,7.3125,7.4375,717000,7.4375,7.4375,4.610798358917236
17-03-1994,7.4375,7.4375,971200,7.6875,7.5625,4.704102993011475
18-03-1994,7.625,7.625,1178000,7.6875,7.625,4.742979526519775
21-03-1994,7.625,7.625,659400,7.6875,7.6875,4.781857490539551
22-03-1994,7.6875,7.6875,374000,7.875,7.8125,4.859611511230469
23-03-1994,7.75,7.8125,430200,7.9375,7.875,4.898487091064453
24-03-1994,7.75,7.8125,747000,7.875,7.75,4.820735931396484
25-03-1994,7.625,7.8125,370000,7.8125,7.6875,4.781857490539551
28-03-1994,7.625,7.6875,1116200,7.6875,7.625,4.742979526519775
29-03-1994,7.5,7.625,595800,7.6875,7.5,4.665225505828857
30-03-1994,7.3125,7.5,653000,7.5,7.375,4.587472915649414
31-03-1994,7.25,7.375,448400,7.4375,7.375,4.587472915649414
04-04-1994,7.125,7.125,386600,7.375,7.375,4.587472915649414
05-04-1994,7.3125,7.3125,361600,7.6875,7.625,4.742979526519775
06-04-1994,7.375,7.625,551400,7.6875,7.375,4.587472915649414
07-04-1994,7.375,7.5,338400,7.5,7.4375,4.626349449157715
08-04-1994,7.3125,7.3125,166000,7.5,7.5,4.665225505828857
11-04-1994,7.25,7.5,424800,7.625,7.25,4.509721279144287
12-04-1994,7.125,7.125,602800,7.25,7.125,4.43196439743042
13-04-1994,7.0,7.125,504600,7.3125,7.0,4.354211330413818
14-04-1994,6.9375,7.0625,378200,7.0625,6.9375,4.315334320068359
15-04-1994,6.875,6.875,197600,7.0625,6.875,4.276458740234375
18-04-1994,7.0,7.0,184800,7.25,7.25,4.509721279144287
19-04-1994,7.1875,7.1875,122200,7.3125,7.25,4.509721279144287
20-04-1994,7.125,7.3125,201400,7.3125,7.125,4.43196439743042
21-04-1994,6.875,7.125,858200,7.3125,6.875,4.276458740234375
22-04-1994,7.0,7.0,411400,7.25,7.25,4.509721279144287
25-04-1994,7.1875,7.1875,330600,7.625,7.625,4.742979526519775
26-04-1994,7.25,7.5625,313400,7.5625,7.375,4.587472915649414
28-04-1994,7.125,7.3125,161600,7.3125,7.3125,4.548594951629639
29-04-1994,7.1875,7.25,344600,7.3125,7.25,4.509721279144287
02-05-1994,7.0625,7.1875,135800,7.3125,7.1875,4.470841884613037
03-05-1994,7.125,7.25,375200,7.4375,7.1875,4.470841884613037
04-05-1994,7.125,7.125,491800,7.375,7.3125,4.548594951629639
05-05-1994,7.1875,7.3125,152800,7.3125,7.25,4.509721279144287
06-05-1994,7.25,7.25,272800,7.3125,7.25,4.509721279144287
09-05-1994,7.25,7.25,161600,7.3125,7.25,4.509721279144287
10-05-1994,7.25,7.25,308200,7.5,7.5,4.665225505828857
11-05-1994,7.5,7.5,388600,7.6875,7.5625,4.704102993011475
12-05-1994,7.5,7.5,155000,7.75,7.75,4.820735931396484
13-05-1994,7.375,7.6875,105200,7.75,7.375,4.587472915649414
16-05-1994,7.375,7.375,206800,7.5625,7.4375,4.626349449157715
17-05-1994,7.4375,7.5,422600,7.5625,7.5,4.665225505828857
18-05-1994,7.4375,7.5,130800,7.5,7.5,4.665225505828857
19-05-1994,7.375,7.4375,199400,7.625,7.5625,4.704102993011475
20-05-1994,7.375,7.5,119600,7.5625,7.375,4.587472915649414
23-05-1994,7.25,7.3125,195600,7.375,7.25,4.509721279144287
24-05-1994,7.375,7.4375,158200,7.5625,7.5625,4.704102993011475
25-05-1994,7.5,7.5,104800,7.75,7.6875,4.781857490539551
26-05-1994,7.5625,7.75,345800,7.75,7.75,4.820735931396484
27-05-1994,7.625,7.6875,298000,7.8125,7.8125,4.859611511230469
31-05-1994,7.875,7.9375,456400,8.25,8.0625,5.01511812210083
01-06-1994,7.875,8.0625,268200,8.0625,7.875,4.898487091064453
02-06-1994,7.8125,8.0,81000,8.0625,7.875,4.898487091064453
03-06-1994,7.625,7.8125,397400,7.9375,7.75,4.820735931396484
06-06-1994,7.8125,7.875,75600,7.9375,7.875,4.898487091064453
07-06-1994,7.75,7.75,92800,7.9375,7.9375,4.93736457824707
08-06-1994,7.875,7.9375,107600,7.9375,7.875,4.898487091064453
09-06-1994,7.8125,7.8125,187800,7.90625,7.875,4.914089202880859
10-06-1994,7.6875,7.875,280600,7.875,7.6875,4.797086238861084
13-06-1994,7.5625,7.75,97600,7.875,7.875,4.914089202880859
14-06-1994,7.8125,7.875,339800,8.0625,8.0625,5.031089782714844
15-06-1994,8.0,8.0,305200,8.1875,8.1875,5.1090922355651855
16-06-1994,8.0625,8.125,393800,8.5,8.5,5.304094314575195
17-06-1994,8.25,8.5,407200,8.5,8.25,5.148093223571777
20-06-1994,8.0625,8.125,47800,8.25,8.125,5.0700907707214355
21-06-1994,8.125,8.125,556200,8.5,8.5,5.304094314575195
22-06-1994,8.375,8.375,759200,8.625,8.5,5.304094314575195
23-06-1994,8.4375,8.4375,553200,8.5,8.5,5.304094314575195
24-06-1994,8.375,8.4375,1003800,8.5,8.375,5.226095199584961
27-06-1994,8.125,8.375,295200,8.375,8.25,5.148093223571777
28-06-1994,8.125,8.1875,165800,8.25,8.125,5.0700907707214355
29-06-1994,8.0,8.125,396200,8.125,8.0,4.992090702056885
30-06-1994,8.0,8.0,453200,8.1875,8.1875,5.1090922355651855
01-07-1994,8.0625,8.1875,870200,8.25,8.125,5.0700907707214355
05-07-1994,8.0625,8.0625,685600,8.25,8.1875,5.1090922355651855
06-07-1994,8.125,8.1875,163800,8.25,8.125,5.0700907707214355
07-07-1994,8.125,8.125,290600,8.25,8.1875,5.1090922355651855
08-07-1994,8.125,8.125,165000,8.3125,8.25,5.148093223571777
11-07-1994,8.1875,8.1875,86800,8.3125,8.25,5.148093223571777
12-07-1994,8.0625,8.25,390800,8.25,8.0625,5.031089782714844
13-07-1994,8.0,8.0625,287000,8.125,8.0625,5.031089782714844
14-07-1994,7.9375,7.9375,167600,8.125,8.0625,5.031089782714844
15-07-1994,7.9375,7.9375,78800,8.0625,8.0625,5.031089782714844
18-07-1994,8.0,8.0625,150600,8.25,8.1875,5.1090922355651855
19-07-1994,8.3125,8.3125,743800,8.5,8.375,5.226095199584961
20-07-1994,8.3125,8.375,1206000,8.5625,8.5625,5.34309720993042
21-07-1994,8.4375,8.4375,544800,8.5625,8.5625,5.34309720993042
22-07-1994,8.5,8.5625,201400,8.625,8.5625,5.34309720993042
25-07-1994,8.5,8.625,71600,8.625,8.625,5.382096767425537
26-07-1994,8.625,8.75,205400,8.8125,8.6875,5.4210991859436035
27-07-1994,8.625,8.625,244000,8.8125,8.6875,5.4210991859436035
28-07-1994,8.5625,8.625,122400,8.625,8.625,5.382096767425537
29-07-1994,8.5625,8.625,102400,8.6875,8.6875,5.4210991859436035
01-08-1994,8.625,8.625,136800,8.6875,8.6875,5.4210991859436035
02-08-1994,8.6875,8.75,513400,8.8125,8.8125,5.4990997314453125
03-08-1994,8.6875,8.8125,709800,8.8125,8.8125,5.4990997314453125
04-08-1994,7.625,8.25,1680600,8.25,7.9375,4.95308780670166
05-08-1994,7.75,7.9375,373600,7.9375,7.75,4.836087703704834
08-08-1994,7.75,7.8125,501400,7.875,7.8125,4.875087738037109
09-08-1994,7.6875,7.875,1031000,7.875,7.75,4.836087703704834
10-08-1994,7.625,7.75,1103200,7.75,7.6875,4.797086238861084
11-08-1994,7.5625,7.625,703800,7.65625,7.5625,4.719084739685059
