Date,Low,Open,Volume,High,Close,Adjusted Close
11-03-1994,20.625,20.625,2359000,20.875,20.875,5.998826503753662
14-03-1994,20.625,20.75,536500,20.75,20.625,5.926984786987305
15-03-1994,20.625,20.625,215700,20.75,20.625,5.926984786987305
16-03-1994,20.625,20.625,338600,21.375,21.375,6.142511367797852
17-03-1994,20.875,21.375,195900,21.375,21.125,6.070669174194336
18-03-1994,20.75,21.125,285700,21.125,21.0,6.034747123718262
21-03-1994,20.875,21.0,38900,21.0,20.875,5.998826503753662
22-03-1994,20.75,20.875,78400,20.875,20.75,5.962906837463379
23-03-1994,20.75,20.75,209200,21.5,21.25,6.106589317321777
24-03-1994,21.0,21.125,155000,21.125,21.0,6.034747123718262
25-03-1994,21.0,21.0,91500,21.125,21.0,6.034747123718262
28-03-1994,20.875,21.0,111200,21.125,21.125,6.070669174194336
29-03-1994,20.625,21.125,101200,21.125,20.625,5.926984786987305
30-03-1994,20.375,20.625,105000,20.75,20.5,5.891064643859863
31-03-1994,20.5,20.5,108300,20.625,20.625,5.926984786987305
04-04-1994,20.0,20.375,42300,20.375,20.125,5.783299446105957
05-04-1994,20.25,20.25,55600,20.875,20.75,5.962906837463379
06-04-1994,20.75,20.75,31800,20.875,20.875,5.998826503753662
07-04-1994,20.75,20.875,52000,21.0,20.75,5.962906837463379
08-04-1994,20.5,20.75,24000,20.75,20.5,5.891064643859863
11-04-1994,20.375,20.5,44400,20.625,20.375,5.855142116546631
12-04-1994,20.25,20.375,15100,20.5,20.5,5.891064643859863
13-04-1994,20.375,20.5,30500,20.5,20.375,5.855142116546631
14-04-1994,20.375,20.375,38800,20.5,20.375,5.855142116546631
15-04-1994,20.125,20.375,12200,20.5,20.125,5.783299446105957
18-04-1994,20.125,20.125,39800,20.375,20.125,5.783299446105957
19-04-1994,20.25,20.25,24500,20.375,20.25,5.8192219734191895
20-04-1994,20.125,20.25,72000,20.25,20.25,5.8192219734191895
21-04-1994,20.25,20.25,15000,20.375,20.25,5.8192219734191895
22-04-1994,20.125,20.25,20700,20.5,20.5,5.891064643859863
25-04-1994,20.25,20.5,27300,20.5,20.25,5.8192219734191895
26-04-1994,20.375,20.375,64000,20.5,20.5,5.891064643859863
28-04-1994,20.5,20.5,27100,20.75,20.625,5.926984786987305
29-04-1994,20.5,20.625,5500,20.625,20.5,5.891064643859863
02-05-1994,20.5,20.5,11700,20.625,20.625,5.926984786987305
03-05-1994,20.375,20.625,29000,20.625,20.5,5.891064643859863
04-05-1994,20.25,20.5,39600,20.5,20.25,5.8192219734191895
05-05-1994,20.125,20.25,7600,20.375,20.375,5.855142116546631
06-05-1994,20.0,20.375,13600,20.375,20.125,5.783299446105957
09-05-1994,20.125,20.125,3700,20.25,20.25,5.8192219734191895
