Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,5.15625,0.0,22400,5.1875,5.15625,2.099243640899658
22-02-1973,5.171875,0.0,11200,5.203125,5.171875,2.105604648590088
23-02-1973,5.125,0.0,52800,5.171875,5.140625,2.092880964279175
26-02-1973,5.125,0.0,9600,5.125,5.125,2.086520195007324
27-02-1973,5.125,0.0,18400,5.140625,5.125,2.086520195007324
28-02-1973,5.125,0.0,29600,5.140625,5.125,2.086520195007324
01-03-1973,5.0625,0.0,24000,5.125,5.0625,2.0642471313476562
02-03-1973,5.03125,0.0,36800,5.0625,5.03125,2.051504373550415
05-03-1973,5.0,0.0,48000,5.046875,5.015625,2.0451345443725586
06-03-1973,5.015625,0.0,12800,5.078125,5.078125,2.0706169605255127
07-03-1973,5.0625,0.0,97600,5.125,5.125,2.089730978012085
08-03-1973,5.09375,0.0,8000,5.109375,5.109375,2.0833606719970703
09-03-1973,5.09375,0.0,100800,5.125,5.09375,2.076988935470581
12-03-1973,5.0625,0.0,57600,5.09375,5.0625,2.0642471313476562
13-03-1973,5.03125,0.0,114400,5.03125,5.03125,2.051504373550415
14-03-1973,5.0625,0.0,226400,5.125,5.109375,2.0833606719970703
15-03-1973,5.125,0.0,74400,5.21875,5.1875,2.1152169704437256
16-03-1973,5.15625,0.0,116000,5.1875,5.1875,2.1152169704437256
19-03-1973,5.171875,0.0,53600,5.234375,5.234375,2.134329319000244
20-03-1973,5.203125,0.0,40000,5.28125,5.25,2.1407012939453125
21-03-1973,5.265625,0.0,65600,5.34375,5.28125,2.1534423828125
22-03-1973,5.125,0.0,69600,5.265625,5.125,2.089730978012085
23-03-1973,5.109375,0.0,20000,5.140625,5.125,2.089730978012085
26-03-1973,5.15625,0.0,28800,5.21875,5.1875,2.1152169704437256
27-03-1973,5.15625,0.0,12000,5.1875,5.171875,2.108844757080078
28-03-1973,5.15625,0.0,38400,5.3125,5.3125,2.1661856174468994
29-03-1973,5.34375,0.0,516000,5.53125,5.53125,2.255380630493164
30-03-1973,5.4375,0.0,50400,5.5,5.46875,2.2298965454101562
02-04-1973,5.4375,0.0,12000,5.5,5.5,2.2426393032073975
03-04-1973,5.46875,0.0,53600,5.5625,5.5625,2.268122434616089
04-04-1973,5.53125,0.0,32800,5.609375,5.609375,2.287236452102661
05-04-1973,5.546875,0.0,21600,5.609375,5.546875,2.2617528438568115
06-04-1973,5.375,0.0,79200,5.578125,5.375,2.1916699409484863
09-04-1973,5.34375,0.0,48000,5.375,5.375,2.1916699409484863
10-04-1973,5.296875,0.0,125600,5.375,5.296875,2.1598148345947266
11-04-1973,5.0,0.0,34400,5.265625,5.0,2.038763999938965
12-04-1973,5.015625,0.0,92800,5.109375,5.109375,2.0833606719970703
13-04-1973,5.078125,0.0,13600,5.109375,5.09375,2.076988935470581
16-04-1973,5.078125,0.0,26400,5.109375,5.078125,2.0706169605255127
17-04-1973,5.078125,0.0,7200,5.09375,5.078125,2.0706169605255127
18-04-1973,5.0,0.0,31200,5.0625,5.015625,2.0451345443725586
19-04-1973,5.0,0.0,18400,5.015625,5.015625,2.0451345443725586
23-04-1973,5.0,0.0,29600,5.015625,5.0,2.038763999938965
24-04-1973,5.0,0.0,40800,5.03125,5.0,2.038763999938965
25-04-1973,4.796875,0.0,52800,4.96875,4.796875,1.9559376239776611
26-04-1973,4.625,0.0,48800,4.75,4.671875,1.90496826171875
27-04-1973,4.6875,0.0,68000,4.71875,4.6875,1.911340594291687
30-04-1973,4.65625,0.0,73600,4.75,4.75,1.9368247985839844
01-05-1973,4.78125,0.0,56800,4.90625,4.875,1.9877934455871582
02-05-1973,4.859375,0.0,27200,4.875,4.875,1.9877934455871582
03-05-1973,4.859375,0.0,33600,4.984375,4.953125,2.019648551940918
04-05-1973,4.984375,0.0,56000,5.125,5.125,2.089730978012085
07-05-1973,5.0,0.0,51200,5.09375,5.09375,2.076988935470581
08-05-1973,5.0625,0.0,5600,5.09375,5.0625,2.0642471313476562
09-05-1973,5.09375,0.0,12800,5.21875,5.21875,2.127957582473755
10-05-1973,5.1875,0.0,59200,5.265625,5.1875,2.1152169704437256
11-05-1973,5.078125,0.0,61600,5.1875,5.078125,2.0706169605255127
14-05-1973,5.03125,0.0,27200,5.0625,5.03125,2.051504373550415
