Date,Low,Open,Volume,High,Close,Adjusted Close
01-10-1999,14.0,14.0,3162400,14.25,14.125,9.252524375915527
04-10-1999,14.0,14.125,533400,14.125,14.0,9.170645713806152
05-10-1999,14.0,14.0,270600,14.125,14.125,9.252524375915527
06-10-1999,14.125,14.125,205400,14.875,14.875,9.74380874633789
07-10-1999,14.0625,14.875,214200,14.875,14.125,9.252524375915527
08-10-1999,14.0625,14.1875,65600,14.1875,14.0625,9.21158504486084
11-10-1999,14.0,14.0625,77500,14.125,14.0625,9.21158504486084
12-10-1999,14.0,14.0625,49200,14.125,14.125,9.252524375915527
13-10-1999,14.0,14.125,49900,14.375,14.0625,9.21158504486084
14-10-1999,13.25,14.0,430900,14.0625,13.625,8.925000190734863
15-10-1999,12.6875,13.125,158200,13.1875,13.0625,8.556539535522461
18-10-1999,12.5,13.0,83800,13.0,12.8125,8.392775535583496
19-10-1999,12.75,12.75,58200,13.25,13.25,8.679361343383789
20-10-1999,13.125,13.375,62600,13.5,13.125,8.597479820251465
21-10-1999,13.0,13.125,98200,13.4375,13.4375,8.802181243896484
22-10-1999,13.3125,13.375,191200,13.5625,13.5,8.843121528625488
25-10-1999,13.4375,13.4375,153100,13.9375,13.9375,9.129704475402832
26-10-1999,13.8125,13.8125,65600,14.125,14.0,9.170645713806152
27-10-1999,14.0,14.0,100900,14.1875,14.0625,9.21158504486084
28-10-1999,14.125,14.1875,255300,14.5,14.125,9.252524375915527
29-10-1999,14.125,14.125,123200,15.25,15.25,9.989448547363281
01-11-1999,14.625,15.0,41800,15.0,14.75,9.66192626953125
02-11-1999,14.3125,14.75,66600,14.875,14.75,9.66192626953125
03-11-1999,14.6875,14.6875,18500,14.875,14.75,9.66192626953125
04-11-1999,14.5,14.875,72100,15.125,14.9375,9.784749984741211
05-11-1999,14.875,15.0,122900,15.875,15.75,10.316975593566895
08-11-1999,15.8125,15.875,240000,17.375,16.625,10.890140533447266
09-11-1999,16.125,16.75,42400,16.75,16.125,10.562617301940918
10-11-1999,15.8125,16.0,59900,16.125,16.0625,10.52168083190918
