Date,Low,Open,Volume,High,Close,Adjusted Close
16-10-1997,5.5625,5.8125,7436400,5.8125,5.6875,3.725684404373169
17-10-1997,5.40625,5.65625,3390400,5.75,5.59375,3.664274215698242
20-10-1997,5.46875,5.5,3068000,5.625,5.53125,3.623331308364868
21-10-1997,5.5,5.5625,2382400,5.6875,5.59375,3.664274215698242
22-10-1997,5.59375,5.6875,1525200,5.75,5.71875,3.7461564540863037
23-10-1997,5.53125,5.6875,1622400,5.6875,5.59375,3.664274215698242
24-10-1997,5.5625,5.65625,813600,5.71875,5.71875,3.7461564540863037
27-10-1997,5.375,5.65625,1507200,5.75,5.421875,3.5516834259033203
28-10-1997,4.9375,5.25,2955600,5.6875,5.59375,3.664274215698242
29-10-1997,5.59375,5.6875,1859200,5.71875,5.65625,3.705214500427246
30-10-1997,5.375,5.53125,856000,5.5625,5.5,3.6028597354888916
31-10-1997,5.4375,5.4375,561600,5.640625,5.5,3.6028597354888916
03-11-1997,5.53125,5.625,1004000,5.84375,5.734375,3.756389617919922
04-11-1997,5.6875,5.75,364000,5.875,5.78125,3.7870962619781494
05-11-1997,5.78125,5.8125,324400,6.0625,5.90625,3.8689818382263184
06-11-1997,5.875,5.875,361600,6.25,6.25,4.094157695770264
07-11-1997,6.03125,6.1875,662400,6.625,6.4375,4.216985702514648
10-11-1997,6.15625,6.3125,266800,6.5,6.15625,4.032745838165283
11-11-1997,5.75,5.9375,618000,6.0,6.0,3.9303929805755615
12-11-1997,5.5625,6.0,314800,6.0,5.6875,3.725684404373169
13-11-1997,5.46875,5.5625,500000,5.625,5.5,3.6028597354888916
14-11-1997,5.3125,5.4375,438000,5.5,5.4375,3.561917304992676
17-11-1997,5.5,5.5,284000,5.84375,5.8125,3.807568311691284
18-11-1997,5.6875,5.875,1429600,5.875,5.71875,3.7461564540863037
19-11-1997,5.5625,5.71875,148400,5.8125,5.5625,3.6438024044036865
20-11-1997,5.3125,5.625,1268000,5.625,5.5625,3.6438024044036865
21-11-1997,5.5,5.5625,640800,5.625,5.53125,3.623331308364868
24-11-1997,5.5,5.5,64400,5.59375,5.53125,3.623331308364868
25-11-1997,5.5,5.5625,326800,5.625,5.515625,3.6130964756011963
26-11-1997,5.234375,5.5,463200,5.53125,5.253905773162842,3.441652774810791
28-11-1997,5.25,5.28125,212800,5.3125,5.25,3.4390947818756104
01-12-1997,5.25,5.25,475200,5.375,5.265625,3.449329376220703
02-12-1997,5.28125,5.375,1280800,5.5,5.34375,3.5005061626434326
03-12-1997,5.34375,5.4375,934400,5.5,5.5,3.6028597354888916
04-12-1997,5.40625,5.5,681600,5.625,5.546875,3.6335670948028564
05-12-1997,5.4375,5.5,282800,5.75,5.6875,3.725684404373169
08-12-1997,5.65625,5.6875,227600,5.75,5.71875,3.7461564540863037
09-12-1997,5.59375,5.75,124000,5.8125,5.59375,3.664274215698242
10-12-1997,5.3125,5.625,269600,5.625,5.375,3.5304455757141113
11-12-1997,5.15625,5.25,400800,5.375,5.3125,3.489392042160034
12-12-1997,5.15625,5.375,412400,5.375,5.15625,3.3867626190185547
15-12-1997,5.171875,5.25,289200,5.375,5.21875,3.4278149604797363
16-12-1997,5.125,5.125,190800,5.3125,5.21875,3.4278149604797363
17-12-1997,5.03125,5.15625,584800,5.1875,5.03125,3.304659128189087
18-12-1997,4.96875,5.09375,272400,5.09375,5.0,3.2841334342956543
19-12-1997,4.9375,5.03125,921600,5.03125,4.9375,3.2430830001831055
22-12-1997,4.9375,4.9375,924000,5.3125,5.0625,3.3251848220825195
23-12-1997,4.9375,5.1875,2331200,5.1875,5.0,3.2841334342956543
24-12-1997,4.9375,5.03125,50400,5.03125,4.9375,3.2430830001831055
26-12-1997,4.96875,5.0,1248400,5.0625,5.0625,3.3251848220825195
29-12-1997,5.0,5.0625,430800,5.28125,5.28125,3.4688665866851807
30-12-1997,5.0625,5.0625,662800,5.34375,5.28125,3.4688665866851807
31-12-1997,5.25,5.40625,911600,5.6875,5.59375,3.6741247177124023
02-01-1998,5.53125,5.53125,112400,5.78125,5.78125,3.7972795963287354
05-01-1998,5.625,6.03125,629600,6.09375,5.625,3.694650173187256
06-01-1998,5.25,5.59375,915200,5.59375,5.421875,3.561232566833496
07-01-1998,5.421875,5.421875,164800,5.75,5.5625,3.6536002159118652
08-01-1998,5.5,5.5,236000,5.78125,5.75,3.776754856109619
09-01-1998,5.5,5.65625,140400,5.75,5.5,3.612545967102051
12-01-1998,5.34375,5.375,927200,5.53125,5.34375,3.509917974472046
13-01-1998,5.3125,5.5,100400,5.5,5.4375,3.5714948177337646
14-01-1998,5.34375,5.4375,585600,5.5625,5.359375,3.520181179046631
15-01-1998,5.34375,5.4375,417200,5.4375,5.375,3.5304455757141113
16-01-1998,5.34375,5.4375,69200,5.59375,5.5625,3.6536002159118652
20-01-1998,5.5,5.5,348800,5.78125,5.78125,3.7972795963287354
21-01-1998,5.71875,5.75,141600,5.78125,5.75,3.776754856109619
22-01-1998,5.65625,5.71875,92400,5.75,5.65625,3.7151780128479004
23-01-1998,5.65625,5.65625,211200,5.875,5.8125,3.817807197570801
26-01-1998,5.625,5.875,497200,5.875,5.71875,3.7562286853790283
27-01-1998,5.625,5.75,96400,5.75,5.625,3.694650173187256
28-01-1998,5.625,5.625,154800,5.6875,5.65625,3.7151780128479004
29-01-1998,5.65625,5.65625,108400,5.8125,5.71875,3.7562286853790283
30-01-1998,5.65625,5.796875,130400,5.796875,5.71875,3.7562286853790283
02-02-1998,5.78125,5.78125,580800,6.15625,6.0,3.940962314605713
03-02-1998,5.9375,5.9375,159200,6.125,6.0,3.940962314605713
04-02-1998,5.90625,6.0,557600,6.09375,5.90625,3.8793845176696777
05-02-1998,5.875,5.875,73200,5.96875,5.875,3.8588576316833496
06-02-1998,5.875,5.96875,246800,6.09375,5.9375,3.8999085426330566
09-02-1998,5.90625,5.90625,724800,6.1875,6.0625,3.982013463973999
10-02-1998,6.0625,6.0625,401600,6.3125,6.25,4.105166435241699
11-02-1998,5.53125,6.15625,2063200,6.25,5.75,3.776754856109619
12-02-1998,5.75,5.8125,464400,5.90625,5.90625,3.8793845176696777
13-02-1998,5.8125,5.96875,163200,5.96875,5.9375,3.8999085426330566
17-02-1998,5.875,6.03125,697200,6.03125,5.90625,3.8793845176696777
18-02-1998,5.90625,6.0,2071200,6.0,5.90625,3.8793845176696777
19-02-1998,5.84375,6.0,184800,6.0,5.84375,3.838331937789917
20-02-1998,5.78125,5.84375,89200,5.90625,5.78125,3.7972795963287354
23-02-1998,5.71875,5.78125,621600,5.84375,5.71875,3.7562286853790283
24-02-1998,5.5,5.71875,417600,5.828125,5.5,3.612545967102051
25-02-1998,5.46875,5.5,201200,5.625,5.59375,3.6741247177124023
26-02-1998,5.46875,5.5625,149200,5.5625,5.46875,3.5920217037200928
27-02-1998,5.46875,5.53125,278000,5.6875,5.6875,3.7357017993927
02-03-1998,5.40625,5.601562976837158,360400,5.6875,5.40625,3.550968885421753
03-03-1998,5.34375,5.5,414000,5.5,5.375,3.5304455757141113
04-03-1998,5.375,5.5,489600,5.5,5.40625,3.550968885421753
05-03-1998,5.34375,5.34375,228000,5.4375,5.40625,3.550968885421753
06-03-1998,5.375,5.375,424400,5.5,5.4375,3.5714948177337646
09-03-1998,5.375,5.5,106400,5.5,5.4375,3.5714948177337646
10-03-1998,5.375,5.4375,232400,5.4375,5.375,3.5402109622955322
11-03-1998,5.375,5.4375,1950800,5.5625,5.515625,3.632833480834961
12-03-1998,5.5,5.5,297200,5.625,5.53125,3.6431233882904053
13-03-1998,5.5,5.53125,247200,5.78125,5.6875,3.746034860610962
16-03-1998,5.625,5.75,792400,5.96875,5.90625,3.89011549949646
17-03-1998,5.6875,5.8125,916400,5.84375,5.75,3.7872025966644287
18-03-1998,5.6875,5.6875,1550000,5.78125,5.78125,3.8077831268310547
19-03-1998,5.75,5.8125,597200,5.921875,5.875,3.8695313930511475
20-03-1998,5.8125,5.8125,258000,5.90625,5.875,3.8695313930511475
23-03-1998,5.8125,5.8125,368000,5.90625,5.8125,3.8283674716949463
24-03-1998,5.8125,5.84375,906800,6.03125,6.0,3.9518630504608154
25-03-1998,5.875,6.0,408400,6.15625,5.875,3.8695313930511475
26-03-1998,5.875,6.0625,344800,6.0625,5.875,3.8695313930511475
27-03-1998,5.875,5.875,220800,6.0,5.953125,3.9209885597229004
30-03-1998,5.96875,5.96875,136000,6.03125,6.0,3.9518630504608154
31-03-1998,6.0,6.0,1022400,6.5625,6.5,4.281184196472168
01-04-1998,6.078125,6.15625,1616800,6.25,6.1875,4.075357913970947
02-04-1998,6.0625,6.15625,1160000,6.75,6.6875,4.404677867889404
03-04-1998,6.25,6.40625,1657600,6.484375,6.28125,4.137104034423828
06-04-1998,6.1875,6.25,317200,6.5,6.328125,4.167979717254639
07-04-1998,6.1875,6.28125,139600,6.28125,6.1875,4.075357913970947
08-04-1998,6.125,6.1875,496000,6.21875,6.125,4.03419303894043
09-04-1998,5.9375,6.125,221600,6.1875,6.0,3.9518630504608154
13-04-1998,5.6875,6.0,314000,6.0,5.8125,3.8283674716949463
14-04-1998,5.71875,5.84375,233600,5.90625,5.78125,3.8077831268310547
15-04-1998,5.59375,5.71875,2683200,5.75,5.75,3.7872025966644287
16-04-1998,5.6875,5.6875,126400,5.9375,5.828125,3.8386576175689697
17-04-1998,5.75,5.84375,326400,5.9375,5.828125,3.8386576175689697
20-04-1998,5.6875,5.71875,279600,5.8125,5.8125,3.8283674716949463
21-04-1998,5.71875,5.8125,226000,5.8125,5.75,3.7872025966644287
22-04-1998,5.71875,5.8125,903600,5.84375,5.8125,3.8283674716949463
23-04-1998,5.6875,5.84375,685200,5.84375,5.78125,3.8077831268310547
24-04-1998,5.71875,5.75,143200,5.78125,5.75,3.7872025966644287
27-04-1998,5.59375,5.75,1390000,5.75,5.625,3.7048709392547607
28-04-1998,5.59375,5.65625,403200,5.65625,5.59375,3.68428897857666
29-04-1998,5.59375,5.65625,731200,5.71875,5.625,3.7048709392547607
30-04-1998,5.625,5.625,145200,5.71875,5.71875,3.7666187286376953
01-05-1998,5.59375,5.625,276400,5.75,5.734375,3.7769079208374023
04-05-1998,5.65625,5.734375,112800,5.75,5.6875,3.746034860610962
05-05-1998,5.65625,5.75,100000,5.78125,5.6875,3.746034860610962
06-05-1998,5.6875,5.75,24800,5.75,5.71875,3.7666187286376953
07-05-1998,5.625,5.71875,128400,5.734375,5.6875,3.746034860610962
08-05-1998,5.625,5.6875,150400,5.6875,5.6875,3.746034860610962
11-05-1998,5.625,5.625,108000,5.65625,5.648437976837158,3.720308542251587
12-05-1998,5.609375,5.65625,118400,5.65625,5.640625,3.715160369873047
13-05-1998,5.59375,5.640625,142800,5.640625,5.59375,3.68428897857666
14-05-1998,5.53125,5.625,138400,5.625,5.53125,3.6431233882904053
15-05-1998,5.515625,5.59375,66400,5.609375,5.59375,3.68428897857666
18-05-1998,5.375,5.625,634400,5.625,5.4375,3.581373929977417
19-05-1998,5.46875,5.5625,296800,5.65625,5.53125,3.6431233882904053
20-05-1998,5.59375,5.65625,202400,5.65625,5.625,3.7048709392547607
21-05-1998,5.625,5.65625,398400,5.6875,5.65625,3.7254531383514404
22-05-1998,5.625,5.625,301600,5.71875,5.6875,3.746034860610962
26-05-1998,5.640625,5.71875,558800,5.75,5.6875,3.746034860610962
27-05-1998,5.625,5.625,295600,5.75,5.703125,3.756326675415039
28-05-1998,5.6875,5.6875,112400,5.734375,5.71875,3.7666187286376953
29-05-1998,5.6875,5.71875,208400,5.78125,5.78125,3.8077831268310547
01-06-1998,5.75,5.78125,540800,5.9375,5.890625,3.87982439994812
02-06-1998,5.875,5.875,541600,6.03125,5.96875,3.931281328201294
03-06-1998,5.890625,5.921875,277600,5.96875,5.96875,3.931281328201294
04-06-1998,5.875,5.890625,420000,6.0,5.890625,3.87982439994812
05-06-1998,5.625,5.90625,706000,5.90625,5.8125,3.8283674716949463
08-06-1998,5.75,5.75,446000,5.9375,5.9375,3.9208147525787354
09-06-1998,5.90625,5.90625,665600,6.0,5.921875,3.910499095916748
10-06-1998,5.6875,5.90625,330800,5.9375,5.71875,3.7763633728027344
11-06-1998,5.40625,5.71875,698000,5.84375,5.5625,3.673185348510742
12-06-1998,5.46875,5.65625,1443200,5.65625,5.53125,3.6525492668151855
