Date,Low,Open,Volume,High,Close,Adjusted Close
02-01-1970,6.40625,6.40625,73200,6.75,6.75,0.25125542283058167
05-01-1970,6.8125,6.8125,130800,7.03125,7.03125,0.2617243230342865
06-01-1970,6.8125,7.03125,312400,7.15625,6.9375,0.2582347095012665
07-01-1970,6.8125,6.90625,51600,6.90625,6.84375,0.2547450363636017
08-01-1970,6.8125,6.84375,79200,6.9375,6.84375,0.2547450363636017
09-01-1970,6.8125,6.84375,45600,6.90625,6.90625,0.2570715546607971
12-01-1970,6.84375,6.90625,51200,6.90625,6.875,0.25590837001800537
13-01-1970,6.71875,6.875,136800,6.875,6.71875,0.2500922977924347
14-01-1970,6.65625,6.71875,61600,6.78125,6.71875,0.2500922977924347
15-01-1970,6.5625,6.71875,85200,6.71875,6.5625,0.24427612125873566
16-01-1970,6.5,6.5625,158000,6.59375,6.53125,0.2431129813194275
19-01-1970,6.5625,6.5625,56000,6.6875,6.6875,0.24892887473106384
20-01-1970,6.625,6.6875,93600,6.84375,6.84375,0.2547450363636017
21-01-1970,6.71875,6.8125,86800,6.8125,6.71875,0.2500922977924347
22-01-1970,6.65625,6.71875,70000,6.71875,6.71875,0.2500922977924347
23-01-1970,6.65625,6.71875,60000,6.78125,6.75,0.25125542283058167
26-01-1970,6.75,6.75,59600,6.8125,6.8125,0.25358179211616516
27-01-1970,6.75,6.8125,74000,6.90625,6.78125,0.25241854786872864
28-01-1970,6.65625,6.78125,53200,6.8125,6.6875,0.24892887473106384
29-01-1970,6.625,6.6875,53600,6.8125,6.8125,0.25358179211616516
30-01-1970,6.71875,6.8125,44400,6.8125,6.75,0.25125542283058167
02-02-1970,6.65625,6.75,50800,6.8125,6.75,0.2523113489151001
03-02-1970,6.65625,6.75,33200,6.78125,6.6875,0.24997510015964508
04-02-1970,6.6875,6.6875,35200,6.75,6.75,0.2523113489151001
05-02-1970,6.625,6.71875,56400,6.71875,6.6875,0.24997510015964508
06-02-1970,6.625,6.6875,37600,6.71875,6.71875,0.25114336609840393
09-02-1970,6.65625,6.71875,59200,6.71875,6.71875,0.25114336609840393
10-02-1970,6.65625,6.71875,34800,6.71875,6.71875,0.25114336609840393
11-02-1970,6.65625,6.71875,40000,6.71875,6.6875,0.24997510015964508
12-02-1970,6.65625,6.6875,35200,6.71875,6.65625,0.24880699813365936
13-02-1970,6.59375,6.65625,61600,6.6875,6.59375,0.2464708387851715
16-02-1970,6.5625,6.59375,44800,6.6875,6.59375,0.2464708387851715
17-02-1970,6.5625,6.59375,36800,6.6875,6.625,0.24763904511928558
18-02-1970,6.59375,6.625,47200,6.6875,6.625,0.24763904511928558
19-02-1970,6.625,6.625,30400,6.71875,6.6875,0.24997510015964508
20-02-1970,6.625,6.6875,59200,6.71875,6.71875,0.25114336609840393
24-02-1970,6.65625,6.71875,56400,6.71875,6.6875,0.24997510015964508
25-02-1970,6.6875,6.6875,72400,6.78125,6.75,0.2523113489151001
26-02-1970,6.75,6.75,44800,6.8125,6.75,0.2523113489151001
27-02-1970,6.78125,6.78125,42000,6.875,6.875,0.2569839060306549
02-03-1970,6.84375,6.875,56000,6.9375,6.90625,0.25815191864967346
03-03-1970,6.875,6.90625,48800,6.96875,6.9375,0.2593199908733368
04-03-1970,6.875,6.9375,60000,7.0625,7.0625,0.2639923095703125
05-03-1970,7.0,7.0625,71600,7.09375,7.0,0.2616563141345978
06-03-1970,6.9375,7.0,75200,7.03125,6.96875,0.26048800349235535
09-03-1970,6.9375,6.96875,35200,7.0,7.0,0.2616563141345978
10-03-1970,6.9375,7.0,28400,7.0,6.96875,0.26048800349235535
11-03-1970,6.9375,6.96875,41200,7.03125,6.96875,0.26048800349235535
12-03-1970,6.9375,6.96875,30800,7.0,6.96875,0.26048800349235535
13-03-1970,6.9375,6.96875,32000,6.96875,6.96875,0.26048800349235535
16-03-1970,6.875,6.96875,28800,6.96875,6.875,0.2569839060306549
17-03-1970,6.75,6.8125,44800,6.8125,6.75,0.2523113489151001
