Date,Low,Open,Volume,High,Close,Adjusted Close
14-12-1993,21.4375,21.5,1077400,22.75,22.625,9.158960342407227
15-12-1993,21.75,22.5,897800,22.5,22.125,8.956544876098633
16-12-1993,22.0,22.1875,571200,22.1875,22.125,8.956544876098633
17-12-1993,21.625,22.125,1053000,22.125,21.625,8.754143714904785
20-12-1993,21.625,21.625,1284800,22.3125,22.3125,9.032449722290039
21-12-1993,22.25,22.25,882800,22.875,22.625,9.158960342407227
22-12-1993,22.4375,22.6875,200600,22.6875,22.625,9.158960342407227
23-12-1993,22.6875,22.6875,195800,23.125,23.0625,9.336065292358398
27-12-1993,23.1875,23.1875,68400,23.75,23.625,9.563775062561035
28-12-1993,23.375,23.5625,273600,23.5625,23.5,9.513172149658203
29-12-1993,23.625,23.625,264400,23.8125,23.8125,9.639670372009277
30-12-1993,23.8125,23.8125,156200,24.0625,23.9375,9.690279006958008
31-12-1993,23.625,23.8125,133000,23.875,23.75,9.614374160766602
03-01-1994,23.125,23.8125,467800,23.8125,23.4375,9.487866401672363
04-01-1994,22.3125,23.4375,2250200,23.4375,22.5625,9.133657455444336
05-01-1994,21.75,22.0,2933400,22.1875,22.1875,8.981852531433105
06-01-1994,21.5,22.0,2753200,22.1875,21.75,8.804743766784668
07-01-1994,20.75,21.6875,3428400,21.6875,20.875,8.450529098510742
10-01-1994,20.875,20.9375,1411000,21.5,21.4375,8.67823314666748
11-01-1994,21.1875,21.5,1185400,21.5,21.375,8.652938842773438
12-01-1994,20.875,21.3125,2209200,21.3125,21.0,8.501132011413574
13-01-1994,20.8125,20.9375,1033400,21.0,20.875,8.450529098510742
14-01-1994,20.8125,20.9375,1366000,21.0625,20.9375,8.475829124450684
17-01-1994,20.75,20.875,1157400,21.0,20.9375,8.475829124450684
18-01-1994,20.75,20.9375,1118400,20.9375,20.8125,8.4252290725708
19-01-1994,20.75,20.75,1327800,21.25,21.125,8.551730155944824
20-01-1994,20.8125,21.125,1121400,21.1875,21.0,8.501132011413574
21-01-1994,20.875,21.0625,1460800,21.0625,21.0,8.501132011413574
24-01-1994,20.75,21.0,2101400,21.0,20.8125,8.4252290725708
25-01-1994,20.625,20.75,1470400,20.9375,20.8125,8.4252290725708
26-01-1994,20.75,20.75,723600,20.875,20.8125,8.4252290725708
27-01-1994,20.75,20.8125,1610600,20.9375,20.8125,8.4252290725708
28-01-1994,20.875,20.9375,1285200,21.5625,21.5,8.70354175567627
31-01-1994,21.5,21.5,1316000,22.1875,21.875,8.8553466796875
01-02-1994,21.0,21.125,3041400,21.25,21.125,8.551730155944824
02-02-1994,20.8125,21.0625,3352000,21.0625,21.0,8.501132011413574
03-02-1994,21.0,21.0625,2135600,21.4375,21.375,8.652938842773438
04-02-1994,21.25,21.3125,1256600,21.625,21.3125,8.627638816833496
07-02-1994,21.3125,21.3125,799400,21.8125,21.75,8.804743766784668
08-02-1994,21.375,21.5,916600,21.625,21.4375,8.67823314666748
09-02-1994,21.3125,21.3125,769800,21.5625,21.5625,8.728837013244629
10-02-1994,21.375,21.5,977600,21.6875,21.375,8.652938842773438
11-02-1994,21.25,21.375,690800,21.4375,21.375,8.652938842773438
14-02-1994,21.375,21.4375,616800,21.5625,21.5,8.70354175567627
15-02-1994,21.4375,21.4375,701200,21.75,21.5625,8.728837013244629
16-02-1994,21.5,21.5625,668800,21.8125,21.6875,8.77944278717041
17-02-1994,21.6875,21.8125,995000,22.0,21.6875,8.77944278717041
18-02-1994,21.5,21.6875,434000,21.75,21.5625,8.728837013244629
22-02-1994,21.0625,21.25,1151800,21.4375,21.25,8.602338790893555
23-02-1994,21.25,21.25,1016000,21.4375,21.4375,8.67823314666748
24-02-1994,21.125,21.375,537800,21.375,21.1875,8.577033996582031
25-02-1994,20.9375,21.0625,651200,21.125,20.9375,8.475829124450684
28-02-1994,20.8125,21.0625,520400,21.0625,20.875,8.450529098510742
01-03-1994,20.75,20.8125,751800,20.875,20.875,8.450529098510742
02-03-1994,20.5625,20.75,1084800,20.8125,20.5625,8.324026107788086
03-03-1994,20.25,20.5625,731600,20.5625,20.25,8.19752311706543
04-03-1994,20.0,20.25,1008400,20.3125,20.125,8.146917343139648
07-03-1994,20.0625,20.125,600000,20.125,20.0625,8.121618270874023
08-03-1994,20.0,20.0625,1083600,20.125,20.0625,8.121618270874023
09-03-1994,19.8125,19.8125,268400,20.0625,20.0625,8.20339584350586
10-03-1994,19.8125,20.0,1073200,20.125,19.875,8.126729965209961
11-03-1994,19.875,19.875,297400,20.375,20.3125,8.305618286132812
14-03-1994,20.25,20.4375,343400,20.4375,20.375,8.3311767578125
15-03-1994,20.3125,20.375,630600,20.5625,20.5,8.38228702545166
16-03-1994,20.1875,20.5,474000,20.5625,20.25,8.280060768127441
17-03-1994,20.1875,20.1875,672600,20.5,20.375,8.3311767578125
18-03-1994,20.0,20.375,991400,20.375,20.0625,8.20339584350586
21-03-1994,20.0,20.0625,422000,20.1875,20.0625,8.20339584350586
22-03-1994,19.875,20.0625,550200,20.125,20.125,8.228950500488281
23-03-1994,20.125,20.1875,512000,20.4375,20.4375,8.356727600097656
24-03-1994,20.3125,20.3125,419600,20.625,20.5,8.38228702545166
25-03-1994,20.5,20.625,231600,20.625,20.5,8.38228702545166
28-03-1994,20.3125,20.5625,484600,20.6875,20.6875,8.458953857421875
29-03-1994,20.625,20.625,313200,20.8125,20.6875,8.458953857421875
30-03-1994,20.3125,20.5625,595000,20.6875,20.375,8.3311767578125
31-03-1994,20.0625,20.3125,674200,20.375,20.125,8.228950500488281
04-04-1994,19.75,19.8125,944200,20.0,19.875,8.126729965209961
05-04-1994,20.0,20.0,1030000,20.25,20.1875,8.254504203796387
06-04-1994,20.625,20.75,834000,21.0,20.875,8.53562068939209
07-04-1994,20.6875,20.875,1355400,20.9375,20.9375,8.561177253723145
08-04-1994,20.875,20.875,897400,21.5625,21.4375,8.765620231628418
11-04-1994,21.125,21.375,469200,21.4375,21.3125,8.71451473236084
12-04-1994,20.8125,21.375,437600,21.375,20.8125,8.510063171386719
13-04-1994,20.9375,21.0,1111000,21.3125,21.3125,8.71451473236084
14-04-1994,21.125,21.1875,703000,21.25,21.1875,8.663396835327148
15-04-1994,21.25,21.375,590600,21.625,21.3125,8.71451473236084
18-04-1994,21.125,21.3125,499200,21.4375,21.1875,8.663396835327148
19-04-1994,21.0,21.3125,628400,21.3125,21.1875,8.663396835327148
20-04-1994,20.5,21.1875,755000,21.25,20.625,8.433393478393555
21-04-1994,20.625,20.6875,671400,21.25,21.0,8.586729049682617
22-04-1994,21.0,21.0625,280200,21.1875,21.0625,8.612285614013672
25-04-1994,21.125,21.1875,862200,21.5625,21.5625,8.816732406616211
26-04-1994,22.3125,22.5,1685800,22.625,22.375,9.148961067199707
28-04-1994,21.875,22.375,1094800,22.375,22.1875,9.072290420532227
29-04-1994,22.0625,22.125,974200,22.375,22.25,9.09784984588623
02-05-1994,22.125,22.25,494600,22.5,22.4375,9.174514770507812
03-05-1994,22.25,22.5,713000,22.5625,22.5,9.200065612792969
04-05-1994,22.4375,22.4375,592600,22.625,22.5625,9.225625991821289
05-05-1994,22.4375,22.625,343200,22.625,22.4375,9.174514770507812
06-05-1994,22.0,22.375,368000,22.4375,22.0625,9.021180152893066
09-05-1994,21.9375,22.0625,241800,22.0625,22.0,8.995619773864746
10-05-1994,22.0625,22.0625,817000,22.875,22.5,9.200065612792969
11-05-1994,22.5625,22.875,828200,23.0,22.5625,9.225625991821289
12-05-1994,22.5625,22.625,358400,22.75,22.5625,9.225625991821289
13-05-1994,22.8125,22.8125,891000,23.0625,22.9375,9.378957748413086
16-05-1994,22.75,22.8125,605200,23.0,23.0,9.404515266418457
17-05-1994,22.8125,22.875,381200,23.125,23.0,9.404515266418457
18-05-1994,22.8125,22.9375,343600,22.9375,22.875,9.353405952453613
19-05-1994,22.8125,22.8125,929800,23.125,23.0,9.404515266418457
20-05-1994,22.5,22.9375,397800,22.9375,22.5,9.200065612792969
23-05-1994,22.75,22.75,502000,23.0,22.75,9.30229377746582
24-05-1994,23.25,23.25,929600,23.625,23.375,9.557848930358887
25-05-1994,23.25,23.25,675600,23.875,23.8125,9.736736297607422
26-05-1994,23.875,23.875,1315800,24.1875,24.125,9.864517211914062
27-05-1994,24.0,24.0,634400,24.4375,24.375,9.966743469238281
31-05-1994,24.0625,24.25,536000,24.4375,24.0625,9.83896541595459
01-06-1994,23.5625,24.0,349800,24.125,23.6875,9.685626029968262
02-06-1994,23.4375,23.5625,542400,23.9375,23.875,9.762295722961426
03-06-1994,23.8125,23.8125,507800,24.0,23.875,9.762295722961426
06-06-1994,23.875,23.9375,299800,24.0625,24.0625,9.83896541595459
07-06-1994,23.6875,24.0,537200,24.0,23.75,9.711185455322266
08-06-1994,23.375,23.75,248400,23.8125,23.5625,9.634514808654785
