Date,Low,Open,Volume,High,Close,Adjusted Close
04-10-1989,2.4375,2.46875,20636000,2.546875,2.5,1.8717541694641113
05-10-1989,2.5,2.515625,6453600,2.625,2.578125,1.9302456378936768
06-10-1989,2.546875,2.59375,2755200,2.625,2.546875,1.9068495035171509
09-10-1989,2.5,2.546875,1084000,2.546875,2.546875,1.9068495035171509
10-10-1989,2.5,2.5625,1493600,2.5625,2.53125,1.8951493501663208
11-10-1989,2.46875,2.5,1260000,2.515625,2.515625,1.8834515810012817
12-10-1989,2.515625,2.515625,602400,2.546875,2.53125,1.8951493501663208
13-10-1989,2.46875,2.53125,3970400,2.53125,2.484375,1.860055685043335
16-10-1989,2.375,2.375,3924800,2.46875,2.46875,1.8483569622039795
17-10-1989,2.4375,2.4375,1843200,2.5,2.5,1.8717541694641113
18-10-1989,2.484375,2.5,1128000,2.5625,2.546875,1.9068495035171509
19-10-1989,2.53125,2.53125,1040000,2.546875,2.546875,1.9068495035171509
20-10-1989,2.515625,2.53125,237600,2.53125,2.53125,1.8951493501663208
23-10-1989,2.546875,2.546875,87200,2.5625,2.546875,1.9068495035171509
24-10-1989,2.53125,2.546875,689600,2.5625,2.5625,1.9185481071472168
25-10-1989,2.515625,2.546875,608000,2.578125,2.546875,1.9068495035171509
26-10-1989,2.546875,2.546875,228800,2.5625,2.546875,1.9068495035171509
27-10-1989,2.5,2.546875,456000,2.546875,2.515625,1.8834515810012817
30-10-1989,2.5,2.515625,250400,2.515625,2.5,1.8717541694641113
31-10-1989,2.5,2.5,424800,2.515625,2.5,1.8717541694641113
01-11-1989,2.515625,2.515625,715200,2.5625,2.5625,1.9185481071472168
02-11-1989,2.59375,2.59375,130400,2.640625,2.640625,1.977038860321045
03-11-1989,2.625,2.625,1118400,2.75,2.734375,2.0472302436828613
06-11-1989,2.578125,2.71875,264800,2.71875,2.578125,1.9302456378936768
07-11-1989,2.5,2.546875,727200,2.6875,2.6875,2.012136459350586
08-11-1989,2.671875,2.6875,236800,2.71875,2.71875,2.035531759262085
09-11-1989,2.6875,2.71875,60800,2.71875,2.6875,2.012136459350586
10-11-1989,2.546875,2.6875,210400,2.6875,2.5625,1.9185481071472168
13-11-1989,2.515625,2.5625,92800,2.5625,2.546875,1.9068495035171509
14-11-1989,2.484375,2.578125,428000,2.578125,2.53125,1.8951493501663208
15-11-1989,2.53125,2.546875,176000,2.578125,2.5625,1.9185481071472168
16-11-1989,2.546875,2.546875,301600,2.59375,2.59375,1.941943883895874
17-11-1989,2.59375,2.59375,249600,2.640625,2.640625,1.977038860321045
20-11-1989,2.609375,2.65625,43200,2.65625,2.609375,1.9536439180374146
21-11-1989,2.59375,2.59375,108800,2.671875,2.671875,2.000436305999756
22-11-1989,2.6875,2.6875,255200,2.75,2.75,2.058929681777954
24-11-1989,2.78125,2.78125,572000,2.953125,2.921875,2.1876120567321777
27-11-1989,2.859375,2.90625,253600,2.9375,2.875,2.152517318725586
28-11-1989,2.828125,2.875,560000,2.875,2.828125,2.1174213886260986
29-11-1989,2.78125,2.8125,60800,2.8125,2.796875,2.094024896621704
30-11-1989,2.8125,2.8125,712800,2.90625,2.890625,2.1642138957977295
01-12-1989,2.890625,2.890625,356800,2.953125,2.90625,2.1759138107299805
04-12-1989,2.875,2.9375,172000,2.984375,2.984375,2.234405755996704
05-12-1989,2.90625,2.953125,93600,2.984375,2.90625,2.1759138107299805
06-12-1989,2.90625,2.90625,668800,3.0,2.984375,2.234405755996704
07-12-1989,2.921875,2.984375,215200,2.984375,2.953125,2.2110092639923096
08-12-1989,2.921875,2.921875,122400,2.953125,2.953125,2.2110092639923096
11-12-1989,2.9375,2.96875,306400,3.03125,3.0,2.2461037635803223
12-12-1989,2.984375,3.015625,1119200,3.03125,3.015625,2.257802724838257
13-12-1989,2.984375,3.0,400000,3.15625,3.15625,2.3630893230438232
14-12-1989,3.109375,3.125,391200,3.140625,3.125,2.3396918773651123
15-12-1989,3.09375,3.140625,155200,3.140625,3.109375,2.327993392944336
18-12-1989,3.03125,3.078125,224000,3.125,3.03125,2.2695019245147705
