Date,Low,Open,Volume,High,Close,Adjusted Close
16-03-1999,22.5,22.5,4900,23.25,23.25,12.160599708557129
17-03-1999,23.25,23.25,3100,23.25,23.25,12.160599708557129
18-03-1999,23.25,23.25,100,23.25,23.25,12.160599708557129
19-03-1999,23.25,23.25,500,23.25,23.25,12.160599708557129
22-03-1999,23.25,23.25,0,23.25,23.25,12.160599708557129
23-03-1999,23.25,23.25,0,23.25,23.25,12.160599708557129
24-03-1999,23.0,24.25,2000,24.25,23.0,12.02984619140625
25-03-1999,23.0,23.0,0,23.0,23.0,12.02984619140625
26-03-1999,23.0,23.0,0,23.0,23.0,12.02984619140625
29-03-1999,23.0,23.0,0,23.0,23.0,12.02984619140625
30-03-1999,23.0,23.0,0,23.0,23.0,12.02984619140625
31-03-1999,23.0,23.0,2000,24.25,24.25,12.68364143371582
01-04-1999,24.25,24.25,0,24.25,24.25,12.68364143371582
05-04-1999,24.25,24.25,0,24.25,24.25,12.68364143371582
06-04-1999,24.25,24.25,0,24.25,24.25,12.68364143371582
07-04-1999,24.25,24.25,0,24.25,24.25,12.68364143371582
08-04-1999,24.25,24.25,0,24.25,24.25,12.68364143371582
09-04-1999,24.25,24.25,0,24.25,24.25,12.68364143371582
12-04-1999,21.0,21.0,700,21.0,21.0,10.983771324157715
13-04-1999,21.0,21.0,0,21.0,21.0,10.983771324157715
14-04-1999,23.0,23.0,1400,24.0,24.0,12.552885055541992
15-04-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
16-04-1999,24.5,25.0,200,25.0,24.5,12.814400672912598
19-04-1999,24.5,24.5,0,24.5,24.5,12.814400672912598
20-04-1999,22.0,25.0,200,25.0,22.0,11.506813049316406
21-04-1999,22.0,22.0,500,24.0,24.0,12.552885055541992
22-04-1999,24.0,24.0,100,24.0,24.0,12.552885055541992
23-04-1999,22.0,22.0,7700,23.5,23.5,12.29135799407959
26-04-1999,23.4375,24.0,2100,24.0,24.0,12.552885055541992
27-04-1999,23.0,24.0,5000,26.0,25.0,13.075918197631836
28-04-1999,25.0,26.5,700,26.5,25.0,13.075918197631836
29-04-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
30-04-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
03-05-1999,26.0,26.0,1200,26.0,26.0,13.598956108093262
04-05-1999,26.0,26.0,0,26.0,26.0,13.598956108093262
05-05-1999,26.0,26.0,0,26.0,26.0,13.598956108093262
06-05-1999,26.0,26.0,0,26.0,26.0,13.598956108093262
07-05-1999,26.0,26.0,0,26.0,26.0,13.598956108093262
10-05-1999,26.0,26.0,0,26.0,26.0,13.598956108093262
11-05-1999,26.0,26.0,0,26.0,26.0,13.598956108093262
12-05-1999,22.5,22.5,1400,24.0,24.0,12.552885055541992
13-05-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
14-05-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
17-05-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
18-05-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
19-05-1999,23.875,23.875,800,24.0,24.0,12.552885055541992
20-05-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
21-05-1999,24.0,24.0,400,24.0,24.0,12.552885055541992
24-05-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
25-05-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
26-05-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
27-05-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
28-05-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
01-06-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
02-06-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
03-06-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
04-06-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
07-06-1999,24.0,24.0,400,24.0,24.0,12.552885055541992
08-06-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
09-06-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
10-06-1999,24.0,24.0,2000,25.0,25.0,13.075918197631836
11-06-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
14-06-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
15-06-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
16-06-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
17-06-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
18-06-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
21-06-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
22-06-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
23-06-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
24-06-1999,22.75,22.75,400,24.0,24.0,12.552885055541992
25-06-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
28-06-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
29-06-1999,22.75,24.0,1400,24.0,22.75,11.899081230163574
30-06-1999,22.75,22.75,0,22.75,22.75,11.899081230163574
01-07-1999,22.75,22.75,0,22.75,22.75,11.899081230163574
02-07-1999,22.75,22.75,0,22.75,22.75,11.899081230163574
06-07-1999,22.75,22.75,0,22.75,22.75,11.899081230163574
07-07-1999,22.75,22.75,0,22.75,22.75,11.899081230163574
08-07-1999,22.75,22.75,0,22.75,22.75,11.899081230163574
09-07-1999,22.75,22.75,0,22.75,22.75,11.899081230163574
12-07-1999,22.75,22.75,0,22.75,22.75,11.899081230163574
13-07-1999,22.75,22.75,0,22.75,22.75,11.899081230163574
14-07-1999,22.75,22.75,0,22.75,22.75,11.899081230163574
15-07-1999,23.0,23.0,800,24.25,24.25,12.68364143371582
16-07-1999,24.25,24.25,0,24.25,24.25,12.68364143371582
19-07-1999,24.5,24.5,1100,24.5,24.5,12.814400672912598
20-07-1999,25.0,25.25,600,25.25,25.0,13.075918197631836
21-07-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
22-07-1999,25.0,25.0,300,25.0,25.0,13.075918197631836
23-07-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
26-07-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
27-07-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
28-07-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
29-07-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
30-07-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
02-08-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
03-08-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
04-08-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
05-08-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
06-08-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
09-08-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
10-08-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
11-08-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
12-08-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
13-08-1999,25.0,25.0,0,25.0,25.0,13.075918197631836
16-08-1999,24.0,24.0,2000,24.75,24.75,12.94515609741211
17-08-1999,24.75,24.75,0,24.75,24.75,12.94515609741211
18-08-1999,24.75,24.75,0,24.75,24.75,12.94515609741211
19-08-1999,24.5,24.5,300,25.5,25.5,13.337435722351074
20-08-1999,25.5,25.5,0,25.5,25.5,13.337435722351074
23-08-1999,25.5,25.5,0,25.5,25.5,13.337435722351074
24-08-1999,25.5,25.5,0,25.5,25.5,13.337435722351074
25-08-1999,25.5,25.5,0,25.5,25.5,13.337435722351074
26-08-1999,23.0,23.0,700,24.375,24.375,12.749021530151367
27-08-1999,24.375,24.375,500,24.375,24.375,12.749021530151367
30-08-1999,24.375,24.375,0,24.375,24.375,12.749021530151367
31-08-1999,25.0,25.0,100,25.0,25.0,13.075918197631836
01-09-1999,23.0,23.0,7000,24.5,24.5,12.814400672912598
02-09-1999,24.5,24.5,2500,24.5,24.5,12.814400672912598
03-09-1999,24.5,24.5,0,24.5,24.5,12.814400672912598
07-09-1999,24.0,24.0,800,25.5,25.5,13.337435722351074
08-09-1999,25.5,25.5,0,25.5,25.5,13.337435722351074
09-09-1999,25.5,25.5,1200,25.5,25.5,13.337435722351074
10-09-1999,25.0,26.5,700,26.5,26.0,13.598956108093262
13-09-1999,25.0,25.0,3900,26.0,25.625,13.402816772460938
14-09-1999,25.625,25.625,0,25.625,25.625,13.402816772460938
15-09-1999,26.5,26.5,900,26.5,26.5,13.860474586486816
16-09-1999,25.5,25.5,2200,26.5,26.5,13.860474586486816
17-09-1999,26.5,26.5,0,26.5,26.5,13.860474586486816
20-09-1999,26.5,26.5,0,26.5,26.5,13.860474586486816
21-09-1999,26.5,26.5,0,26.5,26.5,13.860474586486816
22-09-1999,26.5,26.5,0,26.5,26.5,13.860474586486816
23-09-1999,26.5,26.5,0,26.5,26.5,13.860474586486816
24-09-1999,26.5,26.5,0,26.5,26.5,13.860474586486816
27-09-1999,24.0,24.0,300,24.0,24.0,12.552885055541992
28-09-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
29-09-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
30-09-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
01-10-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
04-10-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
05-10-1999,24.0,24.0,400,24.0,24.0,12.552885055541992
06-10-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
07-10-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
08-10-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
11-10-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
12-10-1999,24.0,24.0,0,24.0,24.0,12.552885055541992
