Date,Low,Open,Volume,High,Close,Adjusted Close
17-03-1980,9.125,0.0,41600,9.1875,9.125,2.823528528213501
18-03-1980,9.09375,0.0,29200,9.125,9.09375,2.813861131668091
19-03-1980,9.09375,0.0,25600,9.25,9.25,2.8622076511383057
20-03-1980,9.25,0.0,48000,9.40625,9.28125,2.8718769550323486
21-03-1980,9.125,0.0,87600,9.34375,9.15625,2.833200454711914
24-03-1980,9.125,0.0,25600,9.21875,9.125,2.823528528213501
25-03-1980,9.0625,0.0,72400,9.09375,9.0625,2.8041911125183105
26-03-1980,8.84375,0.0,20400,9.0625,8.90625,2.7558419704437256
27-03-1980,8.25,0.0,44800,8.75,8.3125,2.5721182823181152
28-03-1980,8.375,0.0,40000,8.5,8.375,2.591458559036255
31-03-1980,8.1875,0.0,48400,8.4375,8.4375,2.6107990741729736
01-04-1980,8.3125,0.0,60000,8.5625,8.5625,2.649477481842041
02-04-1980,8.53125,0.0,42000,8.75,8.71875,2.697826623916626
03-04-1980,8.5,0.0,20800,8.625,8.59375,2.659146547317505
07-04-1980,8.5,0.0,32400,8.6875,8.5,2.6301379203796387
08-04-1980,8.5,0.0,27600,8.6875,8.6875,2.688154458999634
09-04-1980,8.59375,0.0,18000,8.71875,8.71875,2.697826623916626
10-04-1980,8.8125,0.0,29200,8.9375,8.90625,2.7558419704437256
11-04-1980,8.90625,0.0,28000,9.0625,9.0625,2.8041911125183105
14-04-1980,8.875,0.0,29200,9.0625,8.875,2.746171712875366
15-04-1980,8.625,0.0,25600,8.875,8.6875,2.688154458999634
16-04-1980,8.5625,0.0,40400,8.6875,8.5625,2.649477481842041
17-04-1980,8.4375,0.0,29200,8.6875,8.6875,2.688154458999634
18-04-1980,8.65625,0.0,30400,8.875,8.75,2.7074944972991943
21-04-1980,8.75,0.0,8800,8.875,8.75,2.7074944972991943
22-04-1980,8.75,0.0,26400,9.03125,9.03125,2.7945210933685303
23-04-1980,9.0,0.0,5600,9.125,9.0625,2.8041911125183105
24-04-1980,9.0,0.0,86800,9.25,9.21875,2.852539539337158
25-04-1980,9.15625,0.0,4800,9.21875,9.21875,2.852539539337158
28-04-1980,9.0,0.0,15200,9.15625,9.0625,2.8041911125183105
