Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,5.03125,0.0,5600,5.03125,5.03125,0.8028696179389954
22-02-1973,5.03125,0.0,8400,5.03125,5.03125,0.8028696179389954
23-02-1973,5.03125,0.0,73200,5.03125,5.03125,0.8028696179389954
26-02-1973,5.0,0.0,16400,5.0,5.0,0.7978828549385071
27-02-1973,4.9375,0.0,26000,4.9375,4.9375,0.7879095673561096
28-02-1973,4.96875,0.0,26000,4.96875,4.96875,0.7928962111473083
01-03-1973,4.96875,0.0,36800,4.96875,4.96875,0.7928962111473083
02-03-1973,4.96875,0.0,10400,4.96875,4.96875,0.7928962111473083
05-03-1973,4.96875,0.0,26800,4.96875,4.96875,0.7928962111473083
06-03-1973,4.96875,0.0,9200,4.96875,4.96875,0.7928962111473083
07-03-1973,4.96875,0.0,23600,4.96875,4.96875,0.7928962111473083
08-03-1973,4.96875,0.0,8800,4.96875,4.96875,0.7928962111473083
09-03-1973,4.96875,0.0,23200,4.96875,4.96875,0.7928962111473083
12-03-1973,4.96875,0.0,26400,4.96875,4.96875,0.7928962111473083
13-03-1973,4.96875,0.0,41200,4.96875,4.96875,0.7928962111473083
14-03-1973,4.96875,0.0,14000,4.96875,4.96875,0.7928962111473083
15-03-1973,4.9375,0.0,20000,4.9375,4.9375,0.7879095673561096
16-03-1973,4.90625,0.0,9200,4.90625,4.90625,0.7829227447509766
19-03-1973,4.90625,0.0,7600,4.90625,4.90625,0.7829227447509766
20-03-1973,4.875,0.0,23200,4.875,4.875,0.7779359221458435
21-03-1973,4.84375,0.0,21200,4.84375,4.84375,0.7729488015174866
22-03-1973,4.84375,0.0,7200,4.84375,4.84375,0.7729488015174866
23-03-1973,4.84375,0.0,20000,4.84375,4.84375,0.7729488015174866
26-03-1973,4.875,0.0,4400,4.875,4.875,0.7779359221458435
27-03-1973,4.875,0.0,17200,4.875,4.875,0.7779359221458435
28-03-1973,4.90625,0.0,10800,4.90625,4.90625,0.7829227447509766
29-03-1973,4.90625,0.0,5200,4.90625,4.90625,0.7829227447509766
30-03-1973,4.90625,0.0,5600,4.90625,4.90625,0.7829227447509766
02-04-1973,4.90625,0.0,35600,4.90625,4.90625,0.7829227447509766
03-04-1973,4.90625,0.0,51200,4.90625,4.90625,0.7829227447509766
04-04-1973,4.90625,0.0,29200,4.90625,4.90625,0.7829227447509766
05-04-1973,4.90625,0.0,3200,4.90625,4.90625,0.7829227447509766
06-04-1973,4.90625,0.0,27600,4.90625,4.90625,0.7829227447509766
09-04-1973,4.96875,0.0,17600,4.96875,4.96875,0.7928962111473083
10-04-1973,4.96875,0.0,6800,4.96875,4.96875,0.7928962111473083
