Date,Low,Open,Volume,High,Close,Adjusted Close
31-10-1994,8.1875,8.1875,1984200,8.3125,8.3125,4.226805686950684
01-11-1994,8.1875,8.3125,2176400,8.3125,8.25,4.195026397705078
02-11-1994,8.1875,8.25,2348200,8.25,8.1875,4.163244247436523
03-11-1994,8.125,8.1875,2060800,8.25,8.1875,4.163244247436523
04-11-1994,8.125,8.1875,2663800,8.25,8.125,4.131464004516602
07-11-1994,8.0,8.0625,1049400,8.0625,8.0625,4.099684238433838
08-11-1994,7.875,8.0625,5761000,8.0625,7.875,4.004340648651123
09-11-1994,7.9375,7.9375,2480000,8.0625,8.0,4.067903518676758
10-11-1994,8.0,8.0,1956000,8.0625,8.0625,4.099684238433838
11-11-1994,8.0,8.0625,1300200,8.0625,8.0,4.067903518676758
14-11-1994,7.875,7.9375,1419200,7.9375,7.9375,4.207033157348633
15-11-1994,7.875,7.9375,3118800,7.9375,7.875,4.173907279968262
16-11-1994,7.875,7.875,813400,7.9375,7.875,4.173907279968262
17-11-1994,7.75,7.875,1477600,7.875,7.8125,4.140780925750732
18-11-1994,7.6875,7.8125,2452600,7.8125,7.75,4.107655048370361
21-11-1994,7.5625,7.75,3276000,7.75,7.5625,4.008275985717773
22-11-1994,7.4375,7.5625,2725000,7.625,7.4375,3.942023515701294
23-11-1994,7.3125,7.4375,2634200,7.5,7.5,3.9751482009887695
25-11-1994,7.5,7.5,640800,7.5,7.5,3.9751482009887695
28-11-1994,7.4375,7.5,1583400,7.5625,7.5625,4.008275985717773
29-11-1994,7.4375,7.5625,1056400,7.5625,7.5,3.9751482009887695
30-11-1994,7.4375,7.5,1086800,7.5,7.5,3.9751482009887695
01-12-1994,7.4375,7.5,979000,7.5,7.4375,3.942023515701294
02-12-1994,7.375,7.4375,1257200,7.5,7.5,3.9751482009887695
05-12-1994,7.4375,7.5,1071200,7.5625,7.4375,3.942023515701294
06-12-1994,7.375,7.4375,1819200,7.4375,7.4375,3.942023515701294
07-12-1994,7.3125,7.4375,1223400,7.4375,7.375,3.9088962078094482
08-12-1994,7.375,7.375,1178400,7.4375,7.375,3.9088962078094482
09-12-1994,7.3125,7.375,1682000,7.375,7.375,3.9088962078094482
12-12-1994,7.3125,7.375,1011400,7.4375,7.375,3.9088962078094482
13-12-1994,7.375,7.375,1555200,7.5,7.4375,3.942023515701294
14-12-1994,7.4375,7.4375,1351600,7.5,7.5,3.9751482009887695
15-12-1994,7.375,7.5,2600400,7.5625,7.5,3.9751482009887695
16-12-1994,7.4375,7.5,3428800,7.5625,7.5,3.9751482009887695
19-12-1994,7.375,7.5,3590000,7.625,7.5625,4.008275985717773
20-12-1994,7.5625,7.5625,1464200,7.625,7.625,4.0414018630981445
21-12-1994,7.625,7.625,3717600,7.6875,7.625,4.0414018630981445
22-12-1994,7.625,7.625,1467200,7.75,7.75,4.107655048370361
23-12-1994,7.625,7.75,1012000,7.75,7.625,4.0414018630981445
27-12-1994,7.625,7.625,3242800,7.75,7.75,4.107655048370361
28-12-1994,7.625,7.75,1814400,7.75,7.75,4.107655048370361
29-12-1994,7.75,7.75,1436200,7.8125,7.8125,4.140780925750732
30-12-1994,7.6875,7.8125,1365600,7.8125,7.8125,4.140780925750732
03-01-1995,7.6875,7.8125,1064200,7.8125,7.75,4.107655048370361
04-01-1995,7.625,7.75,1751600,7.8125,7.6875,4.074526786804199
05-01-1995,7.625,7.6875,1600200,7.75,7.75,4.107655048370361
06-01-1995,7.6875,7.75,2230600,7.8125,7.6875,4.074526786804199
09-01-1995,7.625,7.6875,2108800,7.75,7.6875,4.074526786804199
10-01-1995,7.6875,7.6875,1580600,7.75,7.6875,4.074526786804199
11-01-1995,7.5625,7.6875,3488600,7.6875,7.625,4.0414018630981445
12-01-1995,7.5,7.5625,1875600,7.5625,7.5,3.9751482009887695
13-01-1995,7.5625,7.5625,2206600,7.5625,7.5625,4.008275985717773
16-01-1995,7.5625,7.5625,3502000,7.625,7.625,4.0414018630981445
17-01-1995,7.625,7.625,1322800,7.6875,7.625,4.0414018630981445
18-01-1995,7.5625,7.625,2150400,7.625,7.5625,4.008275985717773
19-01-1995,7.4375,7.5,3214600,7.5,7.5,3.9751482009887695
20-01-1995,7.4375,7.5,2263800,7.5625,7.5,3.9751482009887695
23-01-1995,7.4375,7.5,4176200,7.5625,7.5625,4.008275985717773
24-01-1995,7.5,7.5625,1362800,7.625,7.5625,4.008275985717773
25-01-1995,7.5625,7.5625,2840000,7.625,7.625,4.0414018630981445
26-01-1995,6.875,7.125,14524000,7.125,7.0625,3.743265151977539
27-01-1995,6.9375,7.0625,7288800,7.125,6.9375,3.677013635635376
30-01-1995,6.9375,6.9375,3881000,7.0,7.0,3.7101385593414307
31-01-1995,7.0,7.0,2975200,7.0625,7.0625,3.743265151977539
01-02-1995,6.875,7.0625,2668000,7.0625,6.9375,3.677013635635376
02-02-1995,6.875,6.9375,1846800,7.0,6.9375,3.677013635635376
03-02-1995,6.9375,6.9375,3790800,7.0625,7.0625,3.743265151977539
06-02-1995,7.0,7.0625,2963200,7.125,7.0625,3.743265151977539
07-02-1995,7.125,7.125,2994800,7.1875,7.1875,3.8095195293426514
08-02-1995,7.125,7.1875,3764800,7.3125,7.1875,3.8095195293426514
09-02-1995,7.0625,7.1875,1978400,7.25,7.25,3.842646837234497
10-02-1995,7.1875,7.25,1724200,7.25,7.1875,3.8095195293426514
13-02-1995,7.125,7.1875,1560000,7.1875,7.125,3.955235481262207
14-02-1995,7.0625,7.125,1967200,7.1875,7.125,3.955235481262207
15-02-1995,7.125,7.125,1822800,7.1875,7.1875,3.9899325370788574
16-02-1995,7.125,7.1875,1477000,7.1875,7.1875,3.9899325370788574
17-02-1995,7.1875,7.1875,3836600,7.3125,7.25,4.024628162384033
21-02-1995,7.1875,7.25,2169400,7.3125,7.1875,3.9899325370788574
22-02-1995,7.125,7.1875,1879800,7.1875,7.1875,3.9899325370788574
23-02-1995,7.125,7.1875,1599600,7.25,7.1875,3.9899325370788574
24-02-1995,7.1875,7.1875,1129800,7.25,7.25,4.024628162384033
27-02-1995,7.1875,7.25,910000,7.25,7.25,4.024628162384033
28-02-1995,7.1875,7.25,2920200,7.3125,7.3125,4.059323310852051
01-03-1995,7.3125,7.3125,8590400,7.4375,7.4375,4.128714561462402
02-03-1995,7.375,7.4375,2482800,7.5,7.5,4.163408279418945
03-03-1995,7.4375,7.5,3257600,7.5625,7.5,4.163408279418945
06-03-1995,7.4375,7.5,1734000,7.5,7.4375,4.128714561462402
07-03-1995,7.25,7.4375,1985600,7.4375,7.4375,4.128714561462402
08-03-1995,7.4375,7.4375,882400,7.5,7.4375,4.128714561462402
09-03-1995,7.375,7.4375,817000,7.4375,7.4375,4.128714561462402
10-03-1995,7.375,7.4375,3922600,7.5,7.5,4.163408279418945
13-03-1995,7.4375,7.5,2940000,7.5625,7.5625,4.19810152053833
14-03-1995,7.5625,7.5625,4782600,7.625,7.625,4.2327985763549805
15-03-1995,7.5,7.625,1994000,7.625,7.5625,4.19810152053833
16-03-1995,7.5,7.5625,1515600,7.5625,7.5625,4.19810152053833
17-03-1995,7.5,7.5625,3842200,7.5625,7.5,4.163408279418945
20-03-1995,7.5,7.5,979000,7.5625,7.5625,4.19810152053833
21-03-1995,7.5,7.5625,1926400,7.5625,7.5,4.163408279418945
22-03-1995,7.4375,7.5,1438200,7.5,7.5,4.163408279418945
23-03-1995,7.4375,7.5,3240000,7.5625,7.5625,4.19810152053833
24-03-1995,7.5,7.5625,2071400,7.5625,7.5,4.163408279418945
27-03-1995,7.4375,7.5,1257800,7.5625,7.4375,4.128714561462402
28-03-1995,7.4375,7.4375,1196600,7.5,7.4375,4.128714561462402
29-03-1995,7.375,7.4375,2455400,7.5,7.4375,4.128714561462402
30-03-1995,7.4375,7.4375,1952400,7.5,7.5,4.163408279418945
31-03-1995,7.375,7.4375,1996000,7.4375,7.4375,4.128714561462402
03-04-1995,7.4375,7.4375,1124800,7.5,7.4375,4.128714561462402
04-04-1995,7.5,7.5,2177800,7.625,7.625,4.2327985763549805
05-04-1995,7.5,7.625,2121400,7.625,7.5,4.163408279418945
06-04-1995,7.5,7.5,1588200,7.5625,7.5,4.163408279418945
07-04-1995,7.5,7.5,1843200,7.625,7.625,4.2327985763549805
10-04-1995,7.5625,7.625,793000,7.625,7.5625,4.19810152053833
11-04-1995,7.4375,7.5625,2031400,7.625,7.5,4.163408279418945
12-04-1995,7.4375,7.5,1231800,7.5625,7.5,4.163408279418945
13-04-1995,7.4375,7.5,1084600,7.5625,7.4375,4.128714561462402
17-04-1995,7.375,7.4375,1362200,7.5625,7.4375,4.128714561462402
18-04-1995,7.375,7.4375,1723400,7.5625,7.375,4.094017505645752
19-04-1995,7.125,7.375,3671000,7.4375,7.1875,3.9899325370788574
20-04-1995,7.1875,7.1875,3837400,7.25,7.1875,3.9899325370788574
21-04-1995,7.1875,7.1875,3236400,7.375,7.3125,4.059323310852051
24-04-1995,7.3125,7.3125,1803800,7.4375,7.4375,4.128714561462402
25-04-1995,7.3125,7.375,1702400,7.375,7.375,4.094017505645752
26-04-1995,7.3125,7.375,3831000,7.4375,7.4375,4.128714561462402
27-04-1995,7.3125,7.375,2932200,7.375,7.375,4.094017505645752
28-04-1995,7.3125,7.375,2072800,7.375,7.375,4.094017505645752
01-05-1995,7.3125,7.375,2258200,7.4375,7.375,4.094017505645752
02-05-1995,7.3125,7.375,2088400,7.4375,7.375,4.094017505645752
03-05-1995,7.375,7.375,1419200,7.4375,7.4375,4.128714561462402
04-05-1995,7.4375,7.4375,2292000,7.5,7.5,4.163408279418945
05-05-1995,7.4375,7.5,1889800,7.5625,7.5,4.163408279418945
08-05-1995,7.5,7.5,2458200,7.625,7.625,4.2327985763549805
09-05-1995,7.625,7.625,1856000,7.6875,7.625,4.2327985763549805
10-05-1995,7.625,7.625,1803000,7.6875,7.6875,4.267492771148682
11-05-1995,7.6875,7.6875,2626400,7.875,7.8125,4.336882591247559
12-05-1995,7.75,7.8125,1720600,7.8125,7.8125,4.336882591247559
15-05-1995,7.625,7.6875,1808000,7.6875,7.625,4.419477939605713
16-05-1995,7.625,7.625,1727000,7.6875,7.6875,4.45570182800293
17-05-1995,7.625,7.6875,4402200,7.6875,7.6875,4.45570182800293
18-05-1995,7.5625,7.6875,2615200,7.6875,7.5625,4.3832502365112305
19-05-1995,7.5,7.5625,2234200,7.5625,7.5625,4.3832502365112305
22-05-1995,7.5625,7.5625,2023600,7.625,7.5625,4.3832502365112305
23-05-1995,7.625,7.625,1925600,7.6875,7.6875,4.45570182800293
24-05-1995,7.625,7.6875,2088400,7.6875,7.625,4.419477939605713
25-05-1995,7.5,7.5625,1848200,7.5625,7.5625,4.3832502365112305
26-05-1995,7.4375,7.5625,2527800,7.5625,7.5,4.347026348114014
30-05-1995,7.4375,7.5,3125800,7.5625,7.5,4.347026348114014
31-05-1995,7.4375,7.5,4049400,7.5,7.5,4.347026348114014
01-06-1995,7.5,7.5,2725000,7.5625,7.5,4.347026348114014
02-06-1995,7.4375,7.5,2446800,7.5625,7.4375,4.310803413391113
05-06-1995,7.4375,7.4375,2436400,7.5,7.5,4.347026348114014
06-06-1995,7.4375,7.5,2003200,7.5,7.5,4.347026348114014
07-06-1995,7.4375,7.5,1657200,7.5,7.5,4.347026348114014
08-06-1995,7.4375,7.5,1802400,7.5,7.5,4.347026348114014
09-06-1995,7.4375,7.5,1431800,7.5,7.4375,4.310803413391113
12-06-1995,7.4375,7.4375,1671400,7.5625,7.5625,4.3832502365112305
13-06-1995,7.5,7.5625,2206000,7.625,7.5625,4.3832502365112305
14-06-1995,7.4375,7.5625,2990000,7.5625,7.5625,4.3832502365112305
15-06-1995,7.5625,7.5625,1817200,7.6875,7.625,4.419477939605713
16-06-1995,7.5625,7.625,5215800,7.625,7.5625,4.3832502365112305
19-06-1995,7.5625,7.5625,2878000,7.625,7.625,4.419477939605713
20-06-1995,7.625,7.625,5134000,7.6875,7.625,4.419477939605713
21-06-1995,7.5625,7.625,3855000,7.625,7.5625,4.3832502365112305
22-06-1995,7.625,7.625,3325200,7.75,7.6875,4.45570182800293
23-06-1995,7.625,7.6875,1763000,7.6875,7.6875,4.45570182800293
26-06-1995,7.4375,7.6875,1836200,7.75,7.625,4.419477939605713
27-06-1995,7.5625,7.625,3102000,7.625,7.5625,4.3832502365112305
28-06-1995,7.4375,7.5625,9012400,7.5625,7.4375,4.310803413391113
29-06-1995,7.375,7.4375,2116600,7.5,7.4375,4.310803413391113
30-06-1995,7.4375,7.4375,1262800,7.5,7.4375,4.310803413391113
03-07-1995,7.375,7.4375,773400,7.4375,7.4375,4.310803413391113
05-07-1995,7.375,7.4375,2362400,7.4375,7.375,4.274575710296631
06-07-1995,7.375,7.375,2627200,7.4375,7.4375,4.310803413391113
07-07-1995,7.4375,7.4375,4824800,7.5,7.5,4.347026348114014
10-07-1995,7.4375,7.5,1996800,7.5,7.5,4.347026348114014
11-07-1995,7.4375,7.5,2381400,7.5,7.4375,4.310803413391113
12-07-1995,7.4375,7.4375,2475800,7.5625,7.5625,4.3832502365112305
13-07-1995,7.4375,7.5625,3033000,7.5625,7.4375,4.310803413391113
14-07-1995,7.4375,7.4375,2504600,7.5,7.5,4.347026348114014
17-07-1995,7.4375,7.5,2429200,7.5,7.4375,4.310803413391113
18-07-1995,7.375,7.4375,3196400,7.5,7.375,4.274575710296631
19-07-1995,7.1875,7.375,4355800,7.4375,7.3125,4.238351345062256
20-07-1995,7.25,7.3125,3983200,7.5625,7.5,4.347026348114014
