Date,Low,Open,Volume,High,Close,Adjusted Close
02-05-1973,0.3515630066394806,0.0,947200,0.3515630066394806,0.3515630066394806,0.20099876821041107
03-05-1973,0.3515630066394806,0.0,1497600,0.359375,0.3515630066394806,0.20099876821041107
04-05-1973,0.37695300579071045,0.0,2316800,0.38476601243019104,0.37695300579071045,0.2155149281024933
07-05-1973,0.3710939884185791,0.0,793600,0.3789060115814209,0.3710939884185791,0.21216532588005066
08-05-1973,0.375,0.0,1331200,0.3828130066394806,0.375,0.2143983244895935
09-05-1973,0.3710939884185791,0.0,1049600,0.3789060115814209,0.3710939884185791,0.21216532588005066
10-05-1973,0.3671880066394806,0.0,1292800,0.375,0.3671880066394806,0.20993196964263916
11-05-1973,0.34570300579071045,0.0,1100800,0.35351601243019104,0.34570300579071045,0.1976485252380371
14-05-1973,0.3242189884185791,0.0,2355200,0.3320310115814209,0.3242189884185791,0.1853654831647873
15-05-1973,0.3398439884185791,0.0,1395200,0.3476560115814209,0.3398439884185791,0.19429872930049896
16-05-1973,0.3554689884185791,0.0,1344000,0.3632810115814209,0.3554689884185791,0.20323196053504944
17-05-1973,0.3476560115814209,0.0,2726400,0.3554689884185791,0.3476560115814209,0.19876496493816376
18-05-1973,0.328125,0.0,1459200,0.3359380066394806,0.328125,0.18759861588478088
21-05-1973,0.3242189884185791,0.0,1766400,0.3320310115814209,0.3242189884185791,0.1853654831647873
22-05-1973,0.3359380066394806,0.0,1702400,0.34375,0.3359380066394806,0.1920655518770218
23-05-1973,0.3359380066394806,0.0,1472000,0.34375,0.3359380066394806,0.1920655518770218
24-05-1973,0.3515630066394806,0.0,1216000,0.359375,0.3515630066394806,0.20099876821041107
25-05-1973,0.3671880066394806,0.0,2009600,0.375,0.3671880066394806,0.20993196964263916
29-05-1973,0.3671880066394806,0.0,844800,0.375,0.3671880066394806,0.20993196964263916
30-05-1973,0.34960898756980896,0.0,1766400,0.35742199420928955,0.34960898756980896,0.19988158345222473
31-05-1973,0.3515630066394806,0.0,1331200,0.359375,0.3515630066394806,0.20099876821041107
01-06-1973,0.3476560115814209,0.0,1024000,0.3554689884185791,0.3476560115814209,0.19876496493816376
04-06-1973,0.32617199420928955,0.0,1676800,0.33398398756980896,0.32617199420928955,0.1864820122718811
05-06-1973,0.34960898756980896,0.0,2265600,0.35742199420928955,0.34960898756980896,0.19988158345222473
06-06-1973,0.3515630066394806,0.0,3340800,0.359375,0.3515630066394806,0.20099876821041107
07-06-1973,0.36132800579071045,0.0,1254400,0.36914101243019104,0.36132800579071045,0.20658160746097565
08-06-1973,0.3710939884185791,0.0,1497600,0.3789060115814209,0.3710939884185791,0.21216532588005066
11-06-1973,0.359375,0.0,729600,0.3671880066394806,0.359375,0.20546504855155945
12-06-1973,0.375,0.0,793600,0.3828130066394806,0.375,0.2143983244895935
13-06-1973,0.37695300579071045,0.0,755200,0.38476601243019104,0.37695300579071045,0.2155149281024933
14-06-1973,0.3828130066394806,0.0,1280000,0.390625,0.3828130066394806,0.21886523067951202
15-06-1973,0.3828130066394806,0.0,3020800,0.390625,0.3828130066394806,0.21886523067951202
18-06-1973,0.375,0.0,896000,0.3828130066394806,0.375,0.2143983244895935
19-06-1973,0.3632810115814209,0.0,2534400,0.3710939884185791,0.3632810115814209,0.20769818127155304
20-06-1973,0.36132800579071045,0.0,819200,0.36914101243019104,0.36132800579071045,0.20658160746097565
21-06-1973,0.3515630066394806,0.0,1536000,0.359375,0.3515630066394806,0.20099876821041107
22-06-1973,0.359375,0.0,1612800,0.3671880066394806,0.359375,0.20546504855155945
25-06-1973,0.35351601243019104,0.0,627200,0.36132800579071045,0.35351601243019104,0.20211537182331085
26-06-1973,0.359375,0.0,1702400,0.3671880066394806,0.359375,0.20546504855155945
27-06-1973,0.3632810115814209,0.0,294400,0.3710939884185791,0.3632810115814209,0.20769818127155304
28-06-1973,0.3671880066394806,0.0,204800,0.375,0.3671880066394806,0.20993196964263916
29-06-1973,0.36523398756980896,0.0,832000,0.37304699420928955,0.36523398756980896,0.2088148146867752
02-07-1973,0.3320310115814209,0.0,1792000,0.3398439884185791,0.3320310115814209,0.1898316890001297
03-07-1973,0.3476560115814209,0.0,1408000,0.3554689884185791,0.3476560115814209,0.19876496493816376
05-07-1973,0.36132800579071045,0.0,1241600,0.36914101243019104,0.36132800579071045,0.20658160746097565
06-07-1973,0.36132800579071045,0.0,742400,0.36914101243019104,0.36132800579071045,0.20658160746097565
09-07-1973,0.36914101243019104,0.0,1523200,0.37695300579071045,0.36914101243019104,0.2110486775636673
10-07-1973,0.375,0.0,2112000,0.3828130066394806,0.375,0.2143983244895935
11-07-1973,0.37695300579071045,0.0,1395200,0.38476601243019104,0.37695300579071045,0.2155149281024933
12-07-1973,0.3789060115814209,0.0,320000,0.3867189884185791,0.3789060115814209,0.21663163602352142
13-07-1973,0.375,0.0,716800,0.3828130066394806,0.375,0.2143983244895935
16-07-1973,0.375,0.0,652800,0.3828130066394806,0.375,0.2143983244895935
17-07-1973,0.37695300579071045,0.0,844800,0.38476601243019104,0.37695300579071045,0.2155149281024933
18-07-1973,0.3828130066394806,0.0,1152000,0.390625,0.3828130066394806,0.21886523067951202
19-07-1973,0.3867189884185791,0.0,716800,0.3945310115814209,0.3867189884185791,0.22109843790531158
20-07-1973,0.3828130066394806,0.0,550400,0.390625,0.3828130066394806,0.21886523067951202
23-07-1973,0.375,0.0,2508800,0.3828130066394806,0.375,0.2143983244895935
24-07-1973,0.3789060115814209,0.0,1305600,0.3867189884185791,0.3789060115814209,0.21663163602352142
25-07-1973,0.38476601243019104,0.0,1395200,0.39257800579071045,0.38476601243019104,0.21998187899589539
26-07-1973,0.3867189884185791,0.0,409600,0.3945310115814209,0.3867189884185791,0.22109843790531158
27-07-1973,0.41601601243019104,0.0,972800,0.42382800579071045,0.41601601243019104,0.23784847557544708
30-07-1973,0.4257810115814209,0.0,1024000,0.4335939884185791,0.4257810115814209,0.24343135952949524
31-07-1973,0.4140630066394806,0.0,908800,0.421875,0.4140630066394806,0.23673179745674133
01-08-1973,0.4140630066394806,0.0,857600,0.421875,0.4140630066394806,0.23673179745674133
02-08-1973,0.421875,0.0,691200,0.4296880066394806,0.421875,0.24119815230369568
03-08-1973,0.4296880066394806,0.0,729600,0.4375,0.4296880066394806,0.2456650286912918
06-08-1973,0.4414060115814209,0.0,716800,0.4492189884185791,0.4414060115814209,0.2523646652698517
07-08-1973,0.4335939884185791,0.0,1945600,0.4414060115814209,0.4335939884185791,0.24789807200431824
08-08-1973,0.4101560115814209,0.0,1574400,0.4179689884185791,0.4101560115814209,0.2344980239868164
09-08-1973,0.3867189884185791,0.0,1548800,0.3945310115814209,0.3867189884185791,0.22109843790531158
10-08-1973,0.375,0.0,3084800,0.3828130066394806,0.375,0.2143983244895935
13-08-1973,0.3671880066394806,0.0,2457600,0.3789060115814209,0.3671880066394806,0.20993196964263916
14-08-1973,0.3671880066394806,0.0,1177600,0.375,0.3671880066394806,0.20993196964263916
15-08-1973,0.375,0.0,2022400,0.3828130066394806,0.375,0.2143983244895935
16-08-1973,0.37695300579071045,0.0,1113600,0.38476601243019104,0.37695300579071045,0.2155149281024933
17-08-1973,0.3828130066394806,0.0,153600,0.390625,0.3828130066394806,0.21886523067951202
20-08-1973,0.38085898756980896,0.0,486400,0.38867199420928955,0.38085898756980896,0.21774815022945404
21-08-1973,0.3828130066394806,0.0,832000,0.390625,0.3828130066394806,0.21886523067951202
22-08-1973,0.4023439884185791,0.0,1971200,0.4101560115814209,0.4023439884185791,0.2300315946340561
23-08-1973,0.4140630066394806,0.0,1561600,0.421875,0.4140630066394806,0.23673179745674133
24-08-1973,0.4101560115814209,0.0,1152000,0.4179689884185791,0.4101560115814209,0.2344980239868164
27-08-1973,0.40820300579071045,0.0,332800,0.41601601243019104,0.40820300579071045,0.23338152468204498
28-08-1973,0.4335939884185791,0.0,1971200,0.4414060115814209,0.4335939884185791,0.24789807200431824
29-08-1973,0.43945300579071045,0.0,1190400,0.44726601243019104,0.43945300579071045,0.2512480318546295
30-08-1973,0.4453130066394806,0.0,1203200,0.453125,0.4453130066394806,0.25459861755371094
31-08-1973,0.4492189884185791,0.0,294400,0.4570310115814209,0.4492189884185791,0.2568316161632538
04-09-1973,0.45898398756980896,0.0,1753600,0.46679699420928955,0.45898398756980896,0.26241448521614075
05-09-1973,0.4765630066394806,0.0,1446400,0.484375,0.4765630066394806,0.27246490120887756
06-09-1973,0.47070300579071045,0.0,2227200,0.47851601243019104,0.47070300579071045,0.26911461353302
07-09-1973,0.4648439884185791,0.0,985600,0.4726560115814209,0.4648439884185791,0.2657647728919983
10-09-1973,0.43945300579071045,0.0,3904000,0.44726601243019104,0.43945300579071045,0.2512480318546295
11-09-1973,0.4414060115814209,0.0,3276800,0.4492189884185791,0.4414060115814209,0.2523646652698517
12-09-1973,0.4335939884185791,0.0,1203200,0.4414060115814209,0.4335939884185791,0.24789807200431824
13-09-1973,0.4570310115814209,0.0,1420800,0.4648439884185791,0.4570310115814209,0.26129770278930664
14-09-1973,0.4648439884185791,0.0,1062400,0.4726560115814209,0.4648439884185791,0.2657647728919983
17-09-1973,0.4492189884185791,0.0,947200,0.4570310115814209,0.4492189884185791,0.2568316161632538
18-09-1973,0.4453130066394806,0.0,1292800,0.453125,0.4453130066394806,0.25459861755371094
19-09-1973,0.4609380066394806,0.0,1011200,0.46875,0.4609380066394806,0.2635316550731659
20-09-1973,0.4726560115814209,0.0,678400,0.4804689884185791,0.4726560115814209,0.27023109793663025
