Date,Low,Open,Volume,High,Close,Adjusted Close
17-02-1994,24.5,25.5,4478600,25.875,24.625,16.69144058227539
18-02-1994,24.25,24.75,777900,25.0,24.625,16.69144058227539
22-02-1994,24.0,24.25,361900,24.5,24.375,16.52197265625
23-02-1994,23.25,24.375,284500,24.5,23.25,15.759418487548828
24-02-1994,22.75,23.125,494600,23.25,23.0,15.589960098266602
25-02-1994,23.0,23.0,102000,23.875,23.75,16.09833526611328
28-02-1994,23.75,23.875,115200,24.0,23.875,16.183059692382812
01-03-1994,23.125,23.75,246600,24.0,23.25,15.759418487548828
02-03-1994,22.625,22.75,355900,22.875,22.75,15.420510292053223
03-03-1994,22.75,22.75,51500,23.0,22.875,15.505237579345703
04-03-1994,22.75,23.0,145500,23.375,23.125,15.674690246582031
07-03-1994,23.0,23.125,102200,23.25,23.0,15.589960098266602
08-03-1994,22.875,23.0,34700,23.125,23.0,15.589960098266602
09-03-1994,22.875,23.125,101100,23.125,22.875,15.505237579345703
10-03-1994,22.125,22.875,220400,23.0,22.25,15.081594467163086
11-03-1994,22.0,22.125,42100,22.375,22.375,15.166322708129883
14-03-1994,22.125,22.25,11900,22.5,22.25,15.081594467163086
15-03-1994,22.5,22.75,128500,23.0,22.75,15.420510292053223
16-03-1994,22.5,22.75,93800,22.875,22.75,15.420510292053223
17-03-1994,22.5,22.875,43700,22.875,22.625,15.335779190063477
18-03-1994,22.5,22.5,125000,22.875,22.875,15.505237579345703
21-03-1994,22.75,22.75,81100,23.125,23.125,15.674690246582031
22-03-1994,23.0,23.0,91800,23.625,23.5,15.92887020111084
23-03-1994,24.25,24.25,332700,24.875,24.25,16.437240600585938
24-03-1994,24.0,24.375,113300,24.375,24.0,16.267789840698242
25-03-1994,24.0,24.0,54700,24.25,24.0,16.267789840698242
28-03-1994,23.75,24.25,67900,24.25,24.0,16.267789840698242
29-03-1994,22.5,23.875,174400,24.0,22.5,15.251043319702148
30-03-1994,22.0,22.25,198000,22.25,22.125,14.996865272521973
31-03-1994,21.5,22.25,201000,22.375,22.0,14.912142753601074
04-04-1994,21.0,21.625,206600,21.625,21.5,14.573225021362305
05-04-1994,21.5,21.5,40500,22.75,22.75,15.420510292053223
06-04-1994,22.5,22.75,31700,22.875,22.875,15.505237579345703
07-04-1994,22.625,22.875,14500,22.875,22.875,15.505237579345703
08-04-1994,22.125,22.875,29900,22.875,22.5,15.251043319702148
11-04-1994,22.25,22.75,28900,22.75,22.625,15.335779190063477
12-04-1994,22.0,22.5,56200,22.5,22.125,14.996865272521973
13-04-1994,21.25,22.25,48100,22.375,21.75,14.742684364318848
14-04-1994,21.25,21.5,81800,21.5,21.375,14.488493919372559
15-04-1994,21.25,21.375,23400,21.375,21.375,14.488493919372559
18-04-1994,20.5,21.375,119100,21.375,20.5,13.89539909362793
19-04-1994,20.0,20.5,23100,20.5,20.125,13.641215324401855
20-04-1994,19.5,20.125,72900,20.125,19.75,13.387033462524414
21-04-1994,19.5,19.625,67100,19.875,19.75,13.387033462524414
22-04-1994,19.5,19.5,8000,19.75,19.75,13.387033462524414
25-04-1994,18.25,19.5,130900,19.625,19.625,13.30230712890625
26-04-1994,19.625,19.625,172800,21.0,20.75,14.064858436584473
28-04-1994,20.75,21.0,73900,21.125,20.875,14.14958381652832
29-04-1994,21.0,21.0,166100,23.0,23.0,15.589960098266602
02-05-1994,22.625,22.75,87800,23.75,23.75,16.09833526611328
03-05-1994,23.25,23.5,55000,23.75,23.375,15.844152450561523
04-05-1994,23.375,23.5,81500,24.0,23.5,15.92887020111084
05-05-1994,23.25,23.25,14200,23.5,23.375,15.844152450561523
06-05-1994,22.375,23.125,67900,23.25,22.5,15.251043319702148
09-05-1994,21.75,22.25,65200,22.5,22.0,14.912142753601074
10-05-1994,21.75,22.0,18000,22.0,21.875,14.82740592956543
11-05-1994,21.375,21.875,24200,21.875,21.375,14.488493919372559
12-05-1994,21.25,21.5,18400,21.5,21.25,14.40377140045166
13-05-1994,20.875,21.25,68700,21.25,20.875,14.14958381652832
16-05-1994,20.0,20.75,13800,20.75,20.125,13.641215324401855
17-05-1994,19.875,20.125,18300,20.125,19.875,13.471766471862793
18-05-1994,19.5,19.875,40900,19.875,19.75,13.387033462524414
19-05-1994,18.0,19.5,772400,19.625,19.0,12.878664016723633
20-05-1994,18.875,18.875,58400,20.0,19.875,13.471766471862793
23-05-1994,20.0,20.0,12600,20.25,20.125,13.641215324401855
24-05-1994,19.875,20.25,92000,20.25,20.0,13.556487083435059
25-05-1994,19.75,19.75,36600,20.0,20.0,13.556487083435059
26-05-1994,20.125,20.125,3700,20.25,20.25,13.725946426391602
27-05-1994,19.625,20.25,15800,20.25,19.75,13.387033462524414
31-05-1994,19.375,19.5,3000,19.5,19.375,13.132850646972656
01-06-1994,19.25,19.25,17900,19.375,19.375,13.132850646972656
02-06-1994,19.625,19.625,25300,20.0,20.0,13.556487083435059
03-06-1994,20.25,20.25,60300,21.0,20.875,14.14958381652832
06-06-1994,20.625,20.75,55400,20.875,20.75,14.064858436584473
07-06-1994,20.875,20.875,34300,21.0,21.0,14.234312057495117
08-06-1994,20.875,21.0,3600,21.0,21.0,14.234312057495117
09-06-1994,20.875,21.0,3600,21.0,20.875,14.14958381652832
10-06-1994,20.75,20.75,10600,21.125,21.0,14.234312057495117
13-06-1994,20.875,21.0,9200,21.125,21.0,14.234312057495117
14-06-1994,20.25,21.0,51500,21.0,20.5,13.89539909362793
15-06-1994,21.25,21.25,63100,21.625,21.625,14.65795612335205
16-06-1994,21.625,21.75,11600,21.75,21.75,14.742684364318848
17-06-1994,21.875,22.0,25400,22.25,22.25,15.081594467163086
20-06-1994,21.75,22.0,14400,22.0,22.0,14.912142753601074
21-06-1994,21.5,22.0,30200,22.0,21.75,14.742684364318848
22-06-1994,22.0,22.0,22600,22.5,22.5,15.251043319702148
23-06-1994,21.875,22.25,4800,22.25,21.875,14.82740592956543
24-06-1994,21.75,22.0,7800,22.0,21.75,14.742684364318848
27-06-1994,21.5,21.5,6400,21.75,21.75,14.742684364318848
28-06-1994,21.125,21.5,18000,21.5,21.5,14.573225021362305
29-06-1994,21.0,21.25,15800,21.25,21.25,14.40377140045166
30-06-1994,21.375,21.5,38000,22.0,22.0,14.912142753601074
01-07-1994,21.5,22.0,13700,22.0,21.5,14.573225021362305
05-07-1994,21.5,21.5,4800,21.875,21.875,14.82740592956543
06-07-1994,21.625,21.75,39900,22.0,21.75,14.742684364318848
07-07-1994,21.75,21.75,11100,21.75,21.75,14.742684364318848
08-07-1994,21.75,21.875,16200,22.0,21.875,14.82740592956543
11-07-1994,21.625,21.75,37700,21.875,21.875,14.82740592956543
12-07-1994,21.875,22.0,16100,22.0,22.0,14.912142753601074
13-07-1994,21.75,22.0,1200,22.0,21.75,14.742684364318848
14-07-1994,21.875,21.875,28200,22.25,22.0,14.912142753601074
15-07-1994,22.0,22.125,6000,22.125,22.125,14.996865272521973
18-07-1994,21.625,21.875,17500,22.0,21.625,14.65795612335205
19-07-1994,21.625,21.75,4600,21.875,21.75,14.742684364318848
20-07-1994,21.75,21.75,15800,22.0,22.0,14.912142753601074
21-07-1994,21.25,21.75,33100,21.75,21.5,14.573225021362305
22-07-1994,21.25,21.5,5400,21.5,21.375,14.488493919372559
25-07-1994,21.5,21.625,5600,21.75,21.625,14.65795612335205
26-07-1994,21.5,21.5,26600,22.0,22.0,14.912142753601074
27-07-1994,21.5,21.75,10800,21.75,21.5,14.573225021362305
28-07-1994,21.625,21.625,29400,21.875,21.875,14.82740592956543
29-07-1994,21.75,21.875,23600,22.125,22.0,14.912142753601074
01-08-1994,21.875,21.875,36100,22.0,22.0,14.912142753601074
02-08-1994,21.75,21.75,65500,22.0,22.0,14.912142753601074
03-08-1994,21.875,21.875,1300,21.875,21.875,14.82740592956543
04-08-1994,21.75,22.0,4500,22.0,21.875,14.82740592956543
05-08-1994,21.875,21.875,1200,21.875,21.875,14.82740592956543
08-08-1994,21.5,21.875,2700,21.875,21.625,14.65795612335205
09-08-1994,21.25,21.375,1900,21.5,21.25,14.40377140045166
10-08-1994,21.125,21.125,9400,21.375,21.375,14.488493919372559
11-08-1994,21.0,21.375,5600,21.375,21.0,14.234312057495117
12-08-1994,21.0,21.0,16300,21.25,21.0,14.234312057495117
15-08-1994,20.75,21.125,3000,21.125,20.75,14.064858436584473
16-08-1994,19.0,20.625,174700,20.625,19.75,13.387033462524414
17-08-1994,19.875,20.0,43300,20.25,20.0,13.556487083435059
18-08-1994,19.5,19.75,29200,20.0,19.625,13.30230712890625
19-08-1994,19.75,19.875,40300,20.0,19.875,13.471766471862793
22-08-1994,19.75,19.875,1200,20.0,19.75,13.387033462524414
23-08-1994,19.875,20.0,31100,20.25,20.125,13.641215324401855
24-08-1994,20.125,20.25,5500,20.375,20.375,13.810676574707031
25-08-1994,20.125,20.375,40900,20.375,20.125,13.641215324401855
26-08-1994,19.25,20.25,92900,20.25,19.375,13.205034255981445
29-08-1994,19.5,19.5,12700,20.0,20.0,13.63099193572998
30-08-1994,19.75,20.0,4100,20.0,19.875,13.545796394348145
31-08-1994,19.5,20.0,18700,20.0,19.5,13.29022216796875
01-09-1994,19.625,19.75,34600,19.75,19.75,13.460609436035156
02-09-1994,19.75,19.875,44300,19.875,19.875,13.545796394348145
06-09-1994,20.0,20.0,9100,20.25,20.25,13.801390647888184
07-09-1994,19.875,20.25,17300,20.25,20.0,13.63099193572998
08-09-1994,20.0,20.125,10900,20.25,20.0,13.63099193572998
09-09-1994,19.875,20.0,1700,20.0,19.875,13.545796394348145
12-09-1994,19.75,19.75,2900,19.875,19.75,13.460609436035156
13-09-1994,19.5,19.625,51600,19.75,19.5,13.29022216796875
14-09-1994,19.5,19.75,88500,19.75,19.5,13.29022216796875
15-09-1994,19.5,19.5,3500,19.875,19.875,13.545796394348145
16-09-1994,19.625,19.625,29000,20.0,19.875,13.545796394348145
19-09-1994,19.625,19.875,4100,20.0,19.875,13.545796394348145
20-09-1994,19.125,19.875,83300,19.875,19.5,13.29022216796875
21-09-1994,19.25,19.25,16700,19.5,19.5,13.29022216796875
22-09-1994,18.875,19.625,13200,19.625,19.0,12.949440956115723
23-09-1994,19.0,19.0,647600,19.25,19.0,12.949440956115723
26-09-1994,18.75,19.0,19700,19.375,19.375,13.205034255981445
27-09-1994,19.0,19.5,12300,19.5,19.0,12.949440956115723
28-09-1994,19.25,19.25,2500,19.375,19.375,13.205034255981445
29-09-1994,19.375,19.375,86100,19.625,19.5,13.29022216796875
30-09-1994,19.5,19.5,80500,20.0,20.0,13.63099193572998
03-10-1994,20.0,20.0,74600,20.125,20.125,13.716184616088867
04-10-1994,20.0,20.0,20000,20.25,20.125,13.716184616088867
05-10-1994,20.0,20.25,38900,20.25,20.25,13.801390647888184
06-10-1994,20.125,20.125,148300,20.75,20.75,14.142154693603516
07-10-1994,20.625,20.625,1800,20.875,20.75,14.142154693603516
10-10-1994,21.0,21.0,5600,21.25,21.25,14.482930183410645
11-10-1994,21.25,21.375,30900,21.875,21.875,14.908902168273926
12-10-1994,21.625,21.75,1100,21.875,21.875,14.908902168273926
13-10-1994,22.0,22.0,11900,22.25,22.0,14.994086265563965
14-10-1994,21.875,22.125,4900,22.375,22.375,15.249674797058105
17-10-1994,22.0,22.25,1400,22.25,22.0,14.994086265563965
18-10-1994,21.375,21.75,6700,21.75,21.625,14.738511085510254
19-10-1994,21.5,21.5,1000,21.625,21.625,14.738511085510254
20-10-1994,20.75,21.375,33300,21.375,20.75,14.142154693603516
21-10-1994,20.625,20.875,93300,20.875,20.625,14.056966781616211
24-10-1994,20.5,20.5,2100,20.75,20.75,14.142154693603516
25-10-1994,20.25,20.75,13400,20.75,20.25,13.801390647888184
26-10-1994,20.25,20.375,2300,20.5,20.25,13.801390647888184
27-10-1994,20.25,20.375,3800,20.5,20.375,13.88658332824707
28-10-1994,20.5,20.5,3700,20.75,20.75,14.142154693603516
31-10-1994,20.5,20.5,12700,20.625,20.625,14.056966781616211
01-11-1994,20.0,20.375,24300,20.375,20.0,13.63099193572998
02-11-1994,20.0,20.125,17700,20.125,20.0,13.63099193572998
03-11-1994,19.75,20.0,24700,20.0,19.75,13.460609436035156
04-11-1994,19.75,19.75,17800,20.25,19.875,13.545796394348145
07-11-1994,19.75,20.0,9100,20.0,19.75,13.460609436035156
08-11-1994,19.75,19.75,13800,20.0,20.0,13.63099193572998
09-11-1994,19.75,20.0,13300,20.0,19.75,13.460609436035156
10-11-1994,19.75,20.0,30100,20.0,19.75,13.460609436035156
11-11-1994,19.125,19.5,120800,19.5,19.25,13.119832038879395
14-11-1994,19.125,19.375,3300,19.375,19.25,13.119832038879395
15-11-1994,19.25,19.25,4400,19.5,19.25,13.119832038879395
16-11-1994,19.0,19.125,10800,19.25,19.25,13.119832038879395
17-11-1994,19.0,19.0,54200,19.375,19.0,12.949440956115723
18-11-1994,18.875,19.0,6900,19.25,19.25,13.119832038879395
21-11-1994,19.25,19.25,1300,19.375,19.25,13.119832038879395
22-11-1994,19.125,19.125,1200,19.25,19.125,13.034638404846191
23-11-1994,19.0,19.375,18700,19.5,19.0,12.949440956115723
25-11-1994,18.625,19.0,11700,19.125,19.125,13.110542297363281
28-11-1994,18.75,18.875,12300,18.875,18.875,12.939165115356445
29-11-1994,18.625,18.875,52700,19.0,18.625,12.767782211303711
30-11-1994,17.875,18.5,164200,18.625,18.0,12.339337348937988
01-12-1994,18.125,18.25,2900,18.375,18.25,12.51071834564209
02-12-1994,18.25,18.25,14000,18.375,18.375,12.596402168273926
05-12-1994,18.375,18.5,97800,18.625,18.625,12.767782211303711
06-12-1994,18.375,18.5,5100,18.625,18.375,12.596402168273926
07-12-1994,18.375,18.5,8100,18.5,18.375,12.596402168273926
08-12-1994,18.25,18.375,9200,18.375,18.25,12.51071834564209
09-12-1994,18.125,18.125,6600,18.375,18.375,12.596402168273926
12-12-1994,18.25,18.5,2200,18.5,18.375,12.596402168273926
13-12-1994,18.375,18.5,4300,18.5,18.375,12.596402168273926
14-12-1994,18.125,18.375,23200,18.375,18.375,12.596402168273926
15-12-1994,17.0,18.25,213900,18.25,17.5,11.99657154083252
16-12-1994,17.5,17.75,32400,17.875,17.75,12.167953491210938
19-12-1994,17.5,17.875,18300,17.875,17.625,12.082265853881836
20-12-1994,17.625,17.625,11300,18.0,17.625,12.082265853881836
21-12-1994,17.125,17.75,101200,17.75,17.125,11.739505767822266
22-12-1994,17.0,17.0,38900,17.25,17.0,11.653813362121582
23-12-1994,17.0,17.0,4800,17.375,17.375,11.91088581085205
27-12-1994,17.25,17.5,17100,17.75,17.75,12.167953491210938
28-12-1994,17.5,17.5,5800,17.75,17.75,12.167953491210938
29-12-1994,17.0,17.75,70900,17.75,17.5,11.99657154083252
30-12-1994,17.25,17.5,41400,17.75,17.75,12.167953491210938
03-01-1995,17.5,17.75,22100,17.75,17.75,12.167953491210938
04-01-1995,16.9375,17.75,71300,17.75,17.0,11.653813362121582
05-01-1995,16.5,16.75,50500,16.875,16.75,11.48243522644043
06-01-1995,16.625,16.75,51900,17.5,17.5,11.99657154083252
09-01-1995,17.625,17.625,12800,18.0,17.875,12.253643989562988
10-01-1995,18.0,18.0,23500,18.375,18.375,12.596402168273926
11-01-1995,18.125,18.5,18700,18.5,18.25,12.51071834564209
12-01-1995,18.25,18.25,18300,18.875,18.875,12.939165115356445
13-01-1995,18.625,18.875,68000,18.875,18.75,12.853468894958496
16-01-1995,18.75,18.75,5000,19.0,19.0,13.024848937988281
17-01-1995,18.875,18.875,34400,19.375,19.375,13.281929016113281
18-01-1995,19.25,19.25,3400,19.375,19.25,13.1962308883667
19-01-1995,18.75,19.25,67200,19.25,18.875,12.939165115356445
20-01-1995,18.75,19.0,1400,19.0,18.75,12.853468894958496
23-01-1995,18.625,18.625,31800,19.5,19.375,13.281929016113281
24-01-1995,18.375,19.25,55700,19.25,18.5,12.682086944580078
25-01-1995,18.375,18.375,12300,18.75,18.75,12.853468894958496
26-01-1995,18.75,19.0,2700,19.0,18.75,12.853468894958496
27-01-1995,18.375,18.75,6600,18.75,18.375,12.596402168273926
30-01-1995,18.25,18.25,2700,18.5,18.5,12.682086944580078
31-01-1995,18.375,18.625,14400,18.625,18.375,12.596402168273926
01-02-1995,18.5,18.5,600,18.625,18.625,12.767782211303711
02-02-1995,18.5,18.625,3200,18.75,18.5,12.682086944580078
03-02-1995,18.625,18.625,700,18.75,18.75,12.853468894958496
06-02-1995,18.75,18.75,24500,19.25,19.25,13.1962308883667
07-02-1995,19.125,19.25,9000,19.25,19.125,13.110542297363281
08-02-1995,18.75,19.125,27700,19.125,18.75,12.853468894958496
09-02-1995,18.5,18.5,37500,19.0,19.0,13.024848937988281
10-02-1995,18.75,18.75,5000,18.75,18.75,12.853468894958496
13-02-1995,18.875,18.875,10100,19.875,19.0,13.024848937988281
14-02-1995,19.0,19.0,59300,19.125,19.0,13.024848937988281
15-02-1995,19.0,19.0,13400,19.125,19.125,13.110542297363281
16-02-1995,19.0,19.0,8600,19.125,19.0,13.024848937988281
17-02-1995,18.5,18.875,37200,19.0,18.5,12.682086944580078
21-02-1995,18.625,18.625,8800,18.875,18.75,12.853468894958496
22-02-1995,18.75,18.875,900,18.875,18.75,12.853468894958496
23-02-1995,18.625,18.75,900,18.75,18.75,12.9293212890625
24-02-1995,18.625,19.0,9700,19.0,18.75,12.9293212890625
27-02-1995,18.5,18.75,5000,18.75,18.625,12.843128204345703
28-02-1995,18.375,18.5,916800,18.625,18.625,12.843128204345703
01-03-1995,18.5,18.625,5300,18.625,18.625,12.843128204345703
02-03-1995,18.5,18.625,2900,18.625,18.5,12.75693130493164
03-03-1995,18.25,18.625,19200,18.625,18.5,12.75693130493164
06-03-1995,18.5,18.5,6800,18.625,18.5,12.75693130493164
07-03-1995,18.25,18.5,12400,18.5,18.5,12.75693130493164
08-03-1995,18.5,18.5,12900,18.75,18.625,12.843128204345703
09-03-1995,18.5,18.5,3100,18.625,18.625,12.843128204345703
10-03-1995,18.5,18.625,8800,18.75,18.75,12.9293212890625
13-03-1995,18.625,18.75,8100,19.0,18.875,13.015522003173828
14-03-1995,19.0,19.0,2300,19.125,19.0,13.101713180541992
15-03-1995,19.0,19.125,19700,19.25,19.125,13.187910079956055
16-03-1995,19.125,19.125,49600,19.25,19.125,13.187910079956055
17-03-1995,19.0,19.25,4900,19.25,19.125,13.187910079956055
20-03-1995,19.125,19.125,2300,19.125,19.125,13.187910079956055
21-03-1995,18.75,19.0,15500,19.0,18.75,12.9293212890625
22-03-1995,18.75,18.875,5300,18.875,18.75,12.9293212890625
23-03-1995,18.75,18.75,3200,19.0,19.0,13.101713180541992
24-03-1995,18.875,19.0,5800,19.125,18.875,13.015522003173828
27-03-1995,18.75,19.0,3100,19.0,19.0,13.101713180541992
28-03-1995,19.0,19.125,23100,19.375,19.375,13.360310554504395
29-03-1995,19.125,19.25,66800,19.375,19.125,13.187910079956055
30-03-1995,19.0,19.125,3200,19.25,19.0,13.101713180541992
31-03-1995,19.0,19.0,3400,19.25,19.125,13.187910079956055
03-04-1995,19.125,19.125,5500,19.375,19.375,13.360310554504395
04-04-1995,19.375,19.5,2200,19.5,19.5,13.446499824523926
05-04-1995,19.375,19.375,5000,19.5,19.375,13.360310554504395
06-04-1995,19.625,19.625,6000,19.75,19.75,13.618888854980469
07-04-1995,19.75,19.875,2500,20.0,19.875,13.70508098602295
10-04-1995,19.875,20.0,2200,20.0,19.875,13.70508098602295
11-04-1995,19.875,19.875,3200,20.0,20.0,13.791275024414062
12-04-1995,20.125,20.125,3300,20.25,20.125,13.877467155456543
13-04-1995,20.125,20.25,900,20.25,20.125,13.877467155456543
17-04-1995,20.0,20.25,5100,20.25,20.125,13.877467155456543
18-04-1995,20.0,20.125,40100,20.25,20.125,13.877467155456543
19-04-1995,20.0,20.125,700,20.125,20.125,13.877467155456543
20-04-1995,20.0,20.0,2800,20.0,20.0,13.791275024414062
21-04-1995,19.5,19.75,14300,19.75,19.625,13.532683372497559
24-04-1995,19.875,19.875,38300,20.25,20.25,13.963680267333984
25-04-1995,20.125,20.125,15800,20.5,20.5,14.136062622070312
26-04-1995,20.375,20.375,64400,20.625,20.5,14.136062622070312
27-04-1995,20.375,20.5,48200,20.625,20.5,14.136062622070312
28-04-1995,20.625,20.625,6600,20.875,20.75,14.308448791503906
01-05-1995,20.5,20.75,25300,20.75,20.625,14.222259521484375
02-05-1995,20.5,20.5,4100,20.75,20.625,14.222259521484375
03-05-1995,20.625,20.75,3600,20.75,20.625,14.222259521484375
04-05-1995,20.75,20.75,28000,20.875,20.875,14.394646644592285
05-05-1995,20.875,21.0,1300,21.0,20.875,14.394646644592285
08-05-1995,20.75,20.875,16500,21.0,21.0,14.48083782196045
09-05-1995,21.25,21.25,11600,21.375,21.375,14.739432334899902
10-05-1995,21.25,21.25,2600,21.5,21.5,14.825627326965332
11-05-1995,21.375,21.375,9400,21.5,21.5,14.825627326965332
12-05-1995,21.375,21.375,8900,21.5,21.375,14.739432334899902
15-05-1995,21.375,21.5,1400,21.5,21.375,14.739432334899902
16-05-1995,21.375,21.375,11300,21.625,21.5,14.825627326965332
17-05-1995,21.5,21.5,27000,21.625,21.5,14.825627326965332
18-05-1995,21.5,21.5,5500,21.75,21.5,14.825627326965332
19-05-1995,21.5,21.75,1900,21.75,21.75,14.998011589050293
22-05-1995,21.5,21.625,7000,21.625,21.5,14.825627326965332
23-05-1995,21.5,21.5,5300,21.625,21.625,14.911815643310547
24-05-1995,21.375,21.625,5200,21.625,21.375,14.739432334899902
25-05-1995,21.25,21.375,1200,21.375,21.25,14.729029655456543
26-05-1995,21.25,21.25,600,21.25,21.25,14.729029655456543
30-05-1995,21.125,21.125,34200,21.25,21.25,14.729029655456543
31-05-1995,21.125,21.125,3700,21.25,21.25,14.729029655456543
01-06-1995,21.0,21.25,67200,21.25,21.0,14.555747985839844
02-06-1995,20.875,20.875,1900,21.0,21.0,14.555747985839844
05-06-1995,21.0,21.0,900,21.0,21.0,14.555747985839844
06-06-1995,20.875,20.875,19600,21.125,21.125,14.642385482788086
07-06-1995,21.0,21.125,1200,21.125,21.0,14.555747985839844
08-06-1995,21.0,21.125,14800,21.25,21.25,14.729029655456543
09-06-1995,21.125,21.25,1200,21.25,21.125,14.642385482788086
12-06-1995,21.25,21.25,4100,21.375,21.375,14.815670013427734
13-06-1995,21.125,21.375,1100,21.375,21.125,14.642385482788086
14-06-1995,21.0,21.0,1400,21.0,21.0,14.555747985839844
15-06-1995,20.375,20.75,10900,20.75,20.375,14.122538566589355
16-06-1995,20.5,20.5,3300,20.75,20.75,14.382466316223145
19-06-1995,20.0,20.875,45100,20.875,20.0,13.862618446350098
20-06-1995,20.0,20.125,6400,20.125,20.0,13.862618446350098
21-06-1995,19.875,20.0,24300,20.0,19.875,13.775979042053223
