Date,Low,Open,Volume,High,Close,Adjusted Close
17-03-1980,1.53125,0.0,25600,1.578125,1.53125,0.7308915853500366
18-03-1980,1.53125,0.0,81600,1.578125,1.53125,0.7308915853500366
19-03-1980,1.546875,0.0,40000,1.59375,1.546875,0.7383493781089783
20-03-1980,1.53125,0.0,11200,1.578125,1.53125,0.7308915853500366
21-03-1980,1.515625,0.0,19200,1.5625,1.515625,0.7234333753585815
24-03-1980,1.484375,0.0,112000,1.53125,1.484375,0.7085176110267639
25-03-1980,1.46875,0.0,49600,1.515625,1.46875,0.7010593414306641
26-03-1980,1.484375,0.0,17600,1.53125,1.484375,0.7085176110267639
27-03-1980,1.46875,0.0,78400,1.515625,1.46875,0.7010593414306641
28-03-1980,1.46875,0.0,16000,1.515625,1.46875,0.7010593414306641
31-03-1980,1.40625,0.0,128000,1.453125,1.40625,0.6712269186973572
01-04-1980,1.390625,0.0,54400,1.4375,1.390625,0.6637687683105469
02-04-1980,1.40625,0.0,20800,1.453125,1.40625,0.6712269186973572
03-04-1980,1.390625,0.0,8000,1.4375,1.390625,0.6637687683105469
07-04-1980,1.375,0.0,43200,1.421875,1.375,0.6563109159469604
08-04-1980,1.375,0.0,62400,1.421875,1.375,0.6563109159469604
09-04-1980,1.390625,0.0,33600,1.4375,1.390625,0.6637687683105469
10-04-1980,1.421875,0.0,24000,1.46875,1.421875,0.6786852478981018
11-04-1980,1.4375,0.0,33600,1.484375,1.4375,0.6861432790756226
14-04-1980,1.421875,0.0,32000,1.46875,1.421875,0.6786852478981018
15-04-1980,1.421875,0.0,33600,1.46875,1.421875,0.6786852478981018
16-04-1980,1.421875,0.0,76800,1.46875,1.421875,0.6786852478981018
17-04-1980,1.421875,0.0,8000,1.46875,1.421875,0.6786852478981018
18-04-1980,1.46875,0.0,52800,1.515625,1.46875,0.7010593414306641
21-04-1980,1.421875,0.0,70400,1.46875,1.421875,0.6786852478981018
22-04-1980,1.46875,0.0,83200,1.515625,1.46875,0.7010593414306641
23-04-1980,1.46875,0.0,19200,1.515625,1.46875,0.7010593414306641
24-04-1980,1.46875,0.0,3200,1.515625,1.46875,0.7010593414306641
25-04-1980,1.453125,0.0,17600,1.5,1.453125,0.693601131439209
28-04-1980,1.46875,0.0,56000,1.515625,1.46875,0.7010593414306641
29-04-1980,1.515625,0.0,64000,1.5625,1.515625,0.7234333753585815
30-04-1980,1.515625,0.0,4800,1.5625,1.515625,0.7234333753585815
01-05-1980,1.515625,0.0,108800,1.5625,1.515625,0.7234333753585815
02-05-1980,1.515625,0.0,17600,1.5625,1.515625,0.7234333753585815
05-05-1980,1.515625,0.0,48000,1.5625,1.515625,0.7234333753585815
06-05-1980,1.515625,0.0,14400,1.5625,1.515625,0.7234333753585815
07-05-1980,1.5,0.0,32000,1.546875,1.5,0.7159755229949951
08-05-1980,1.484375,0.0,102400,1.53125,1.484375,0.7085176110267639
09-05-1980,1.46875,0.0,62400,1.515625,1.46875,0.7010593414306641
12-05-1980,1.453125,0.0,17600,1.5,1.453125,0.693601131439209
13-05-1980,1.453125,0.0,8000,1.5,1.453125,0.693601131439209
14-05-1980,1.453125,0.0,20800,1.5,1.453125,0.693601131439209
15-05-1980,1.5,0.0,140800,1.546875,1.5,0.7159755229949951
16-05-1980,1.5,0.0,116800,1.546875,1.5,0.7159755229949951
19-05-1980,1.515625,0.0,44800,1.5625,1.515625,0.7234333753585815
20-05-1980,1.5,0.0,134400,1.546875,1.5,0.7159755229949951
21-05-1980,1.53125,0.0,76800,1.578125,1.53125,0.7308915853500366
22-05-1980,1.53125,0.0,49600,1.578125,1.53125,0.7308915853500366
23-05-1980,1.546875,0.0,38400,1.59375,1.546875,0.7383493781089783
27-05-1980,1.546875,0.0,12800,1.59375,1.546875,0.7383493781089783
