Date,Low,Open,Volume,High,Close,Adjusted Close
03-10-1995,18.5,18.75,10364800,19.875,19.625,13.079636573791504
04-10-1995,18.75,19.5,1810800,19.625,18.75,12.496464729309082
05-10-1995,19.0,19.125,1216500,19.5,19.375,12.913016319274902
06-10-1995,19.375,19.625,1538100,19.875,19.875,13.246249198913574
09-10-1995,19.375,19.875,869200,19.875,19.375,12.913016319274902
10-10-1995,19.0,19.375,840800,19.5,19.25,12.829708099365234
11-10-1995,19.25,19.375,630400,19.5,19.375,12.913016319274902
12-10-1995,19.125,19.375,519700,19.5,19.375,12.913016319274902
13-10-1995,19.5,19.5,557300,20.0,20.0,13.329564094543457
16-10-1995,19.625,20.125,188700,20.125,19.75,13.162947654724121
17-10-1995,19.625,19.75,244600,19.875,19.75,13.162947654724121
18-10-1995,19.5,19.625,152500,19.75,19.625,13.079636573791504
19-10-1995,19.5,19.5,180400,19.625,19.625,13.079636573791504
20-10-1995,19.375,19.625,298900,19.75,19.5,12.99632453918457
23-10-1995,19.125,19.25,731100,19.375,19.25,12.829708099365234
24-10-1995,19.0,19.375,670500,19.375,19.0,12.66308879852295
25-10-1995,19.0,19.125,749900,19.25,19.0,12.66308879852295
26-10-1995,19.0,19.125,810900,19.125,19.0,12.66308879852295
27-10-1995,19.0,19.0,460500,19.25,19.25,12.829708099365234
30-10-1995,19.25,19.375,76200,19.375,19.25,12.829708099365234
31-10-1995,19.875,20.75,2034100,20.75,20.375,13.579497337341309
01-11-1995,20.0,20.25,398600,20.5,20.375,13.579497337341309
02-11-1995,20.375,20.375,221200,20.5,20.5,13.662797927856445
03-11-1995,20.375,20.5,306800,20.875,20.75,13.82941722869873
06-11-1995,20.625,20.625,137200,21.25,20.625,13.746114730834961
07-11-1995,20.375,20.625,566300,20.625,20.625,13.746114730834961
08-11-1995,20.5,20.5,264700,20.875,20.75,13.82941722869873
09-11-1995,20.625,20.625,70700,20.75,20.75,13.82941722869873
10-11-1995,20.375,20.625,190500,20.625,20.375,13.579497337341309
13-11-1995,20.375,20.375,135900,20.625,20.5,13.662797927856445
14-11-1995,20.5,20.625,206900,20.75,20.625,13.746114730834961
15-11-1995,20.25,20.5,615500,20.625,20.5,13.662797927856445
16-11-1995,20.375,20.75,381400,21.0,20.375,13.599397659301758
17-11-1995,20.375,20.5,178000,20.875,20.625,13.76625919342041
20-11-1995,20.5,20.75,377000,21.375,20.5,13.682822227478027
21-11-1995,20.5,20.625,391400,20.75,20.75,13.849686622619629
22-11-1995,20.5,20.5,92600,20.875,20.875,13.933123588562012
24-11-1995,20.75,20.875,7900,20.875,20.875,13.933123588562012
27-11-1995,20.625,20.75,455000,21.125,20.75,13.849686622619629
28-11-1995,20.75,21.0,130200,21.0,20.75,13.849686622619629
29-11-1995,20.75,20.75,59500,20.875,20.75,13.849686622619629
30-11-1995,20.625,20.625,180100,21.0,20.875,13.933123588562012
01-12-1995,20.875,21.0,94400,21.25,21.25,14.183419227600098
04-12-1995,21.0,21.25,228600,21.25,21.0,14.016552925109863
05-12-1995,20.875,21.0,251400,21.125,21.125,14.09998607635498
06-12-1995,21.0,21.25,109900,21.25,21.0,14.016552925109863
07-12-1995,21.25,21.25,171800,21.625,21.375,14.266852378845215
08-12-1995,21.0,21.125,224000,21.375,21.25,14.183419227600098
11-12-1995,21.25,21.25,123800,21.75,21.5,14.3502779006958
12-12-1995,21.25,21.5,192100,21.625,21.5,14.3502779006958
13-12-1995,21.375,21.5,81800,21.875,21.625,14.433719635009766
14-12-1995,21.875,21.875,251200,22.375,21.875,14.600578308105469
15-12-1995,22.0,22.0,220800,22.5,22.25,14.850876808166504
18-12-1995,21.875,22.125,320900,22.125,22.125,14.767439842224121
19-12-1995,21.875,22.0,361400,23.0,23.0,15.351480484008789
20-12-1995,22.375,23.25,168300,23.375,22.375,14.934303283691406
21-12-1995,22.375,22.375,90300,23.0,22.875,15.268031120300293
22-12-1995,22.625,23.0,104500,23.0,22.875,15.268031120300293
26-12-1995,22.625,22.625,109100,23.0,23.0,15.351480484008789
27-12-1995,22.75,23.0,108400,23.0,22.875,15.268031120300293
28-12-1995,22.625,23.0,74100,23.0,22.625,15.101165771484375
29-12-1995,22.625,22.625,230800,23.5,23.375,15.601757049560547
02-01-1996,22.25,23.25,237100,23.25,22.875,15.268031120300293
03-01-1996,22.5,22.75,249500,22.875,22.75,15.184600830078125
04-01-1996,22.0,22.5,276800,22.5,22.25,14.850876808166504
05-01-1996,22.25,22.25,171100,22.5,22.5,15.017740249633789
08-01-1996,22.25,22.5,62200,22.5,22.375,14.934303283691406
09-01-1996,22.0,22.5,65300,22.5,22.375,14.934303283691406
10-01-1996,22.125,22.25,535400,22.625,22.375,14.934303283691406
11-01-1996,22.0,22.375,83400,22.375,22.25,14.850876808166504
12-01-1996,22.25,22.25,60200,22.5,22.375,14.934303283691406
15-01-1996,22.25,22.5,76800,22.625,22.25,14.850876808166504
16-01-1996,22.125,22.375,81000,22.625,22.25,14.850876808166504
17-01-1996,22.25,22.5,50800,22.625,22.375,14.934303283691406
18-01-1996,22.0,22.125,972000,22.375,22.0,14.684012413024902
19-01-1996,21.375,21.875,102800,22.0,22.0,14.684012413024902
22-01-1996,20.375,21.75,449000,21.75,20.75,13.849686622619629
23-01-1996,21.0,21.0,798600,22.25,21.875,14.600578308105469
